record_id,doi,openalex_id,oa_status,pdf_url,landing_url,fulltext_status,lookup_note
S01,10.1016/j.atech.2025.101071,https://openalex.org/W4411118896,gold,,https://doi.org/10.1016/j.atech.2025.101071,inaccessible_after_attempts,"Batch audit: OpenAlex work W4411118896: gold OA and repository-fulltext flag; primary OA URL was DOI landing. | DOI/Crossref/Unpaywall route: https://doi.org/10.1016/j.atech.2025.101071. | ScienceDirect PII PDF delivery route (S2772375525001434) returned HTTP 403 HTML, not full text. | Web/repository location discovery via OpenAlex returned no usable direct repository manuscript URL."
S02,10.3390/s24248109,https://openalex.org/W4405581723,gold,https://pmc.ncbi.nlm.nih.gov/articles/PMC11679081/,https://doi.org/10.3390/s24248109,fulltext_reviewed,Batch audit: OpenAlex/Unpaywall identified MDPI OA PDF and PubMed Central copy. | MDPI PDF delivery was not retrievable as a PDF in this environment; PMC lawful HTML full text was retrieved and reviewed.
S03,10.1016/j.ifacol.2025.11.829,https://openalex.org/W4417047613,diamond,https://arxiv.org/pdf/2506.13278v1,https://doi.org/10.1016/j.ifacol.2025.11.829,fulltext_reviewed,Pass-2 lawful OA retrieval succeeded and full text was reviewed with locators. Retrieved copy is the arXiv preprint version.
S04,10.1109/IECON.2014.7049044,https://openalex.org/W1607192706,closed,,https://doi.org/10.1109/iecon.2014.7049044,inaccessible_after_attempts,Batch audit: OpenAlex work W1607192706: closed status; no OA PDF or repository full-text location. | DOI/Crossref route: https://doi.org/10.1109/IECON.2014.7049044. | IEEE/DOI landing search and web search did not yield a lawful accessible full text.
S05,,,unknown,https://edepot.wur.nl/205106,,fulltext_reviewed,Pass-3 lawful OA retrieval succeeded and full text was reviewed with locators. Retrieved copy is the Wageningen e-depot thesis.
S06,10.1007/s13593-021-00705-z,https://openalex.org/W3167286151,bronze,https://link.springer.com/content/pdf/10.1007/s13593-021-00705-z.pdf,https://doi.org/10.1007/s13593-021-00705-z,fulltext_reviewed,Pass-2 lawful OA retrieval succeeded and full text was reviewed with locators.
S07,10.1016/j.compag.2023.108372,https://openalex.org/W4388326263,hybrid,https://upcommons.upc.edu/bitstreams/621b9d96-23d5-46dc-875c-08be8c7fc928/download,https://doi.org/10.1016/j.compag.2023.108372,fulltext_reviewed,Batch audit: OpenAlex/Unpaywall found the lawful UPCommons institutional-repository manuscript; 9-page PDF retrieved and reviewed.
S08,10.1016/j.atech.2024.100751,https://openalex.org/W4405961978,gold,https://edepot.wur.nl/685065,https://doi.org/10.1016/j.atech.2024.100751,fulltext_reviewed,Batch audit: OpenAlex/Unpaywall found the lawful WUR e-depot PDF; 12-page PDF retrieved and reviewed.
S09,10.1016/j.ecmx.2025.100939,https://openalex.org/W4407788964,gold,,https://doi.org/10.1016/j.ecmx.2025.100939,inaccessible_after_attempts,"Batch audit: OpenAlex work W4407788964: gold OA label; primary route was DOI landing. | DOI/Crossref/Unpaywall route: https://doi.org/10.1016/j.ecmx.2025.100939. | ScienceDirect PII PDF delivery route (S2590174525000745) returned HTTP 403 HTML, not full text. | DOAJ location was identified by OpenAlex but did not provide a usable direct manuscript file; web/location search found no lawful reviewable copy."
S10,10.25165/j.ijabe.20241705.8241,https://openalex.org/W4404190317,gold,https://ijabe.org/index.php/ijabe/article/download/8241/pdf,http://dx.doi.org/10.25165/j.ijabe.20241705.8241,fulltext_reviewed,OA URL availability is not equivalent to full-text verification
