record_id,route,url,outcome,content_type
S02,europepmc_xml,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11679081/fullTextXML,OK_TEXT,application/xml
S07,recorded_url,https://upcommons.upc.edu/bitstreams/621b9d96-23d5-46dc-875c-08be8c7fc928/download,OK_PDF,application/pdf;charset=UTF-8
S08,recorded_url,https://edepot.wur.nl/685065,OK_PDF,application/pdf
S10,recorded_url,https://ijabe.org/index.php/ijabe/article/download/8241/pdf,OK_PDF,application/pdf
S16,europepmc_xml,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8402102/fullTextXML,OK_TEXT,application/xml
S36,recorded_url,https://link.springer.com/content/pdf/10.1007/s40030-024-00857-7.pdf,OK_PDF,application/pdf
S38,recorded_url,https://mdpi-res.com/d_attachment/electronics/electronics-13-01949/article_deploy/electronics-13-01949.pdf,OK_PDF,application/pdf
S44,recorded_url,https://doi.org/10.3390/act14090413,HTTP_-1,error:HTTPError
S44,mdpi_landing,https://doi.org/10.3390/act14090413,HTTP_-1,error:HTTPError
S45,recorded_url,https://www.mdpi.com/2073-4395/15/2/366/pdf?version=1738252300,HTTP_-1,error:HTTPError
S45,mdpi_static,https://mdpi-res.com/d_attachment/2073-4395/2073-4395-15-2-366/article_deploy/2073-4395-15-2-366.pdf,HTTP_-1,error:HTTPError
S46,recorded_url,https://www.mdpi.com/1424-8220/20/7/1827/pdf?version=1609224120,HTTP_-1,error:HTTPError
S46,mdpi_static,https://mdpi-res.com/d_attachment/1424-8220/1424-8220-20-7-1827/article_deploy/1424-8220-20-7-1827.pdf,HTTP_-1,error:HTTPError
S52,recorded_url,https://www.mdpi.com/1424-8220/20/23/6865/pdf?version=1606816583,HTTP_-1,error:HTTPError
S52,mdpi_static,https://mdpi-res.com/d_attachment/1424-8220/1424-8220-20-23-6865/article_deploy/1424-8220-20-23-6865.pdf,HTTP_-1,error:HTTPError
S57,recorded_url,https://www.ijrte.org/wp-content/uploads/papers/v8i3/C6538098319.pdf,OK_PDF,application/pdf
S59,europepmc_xml,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6359213/fullTextXML,OK_TEXT,application/xml
S60,europepmc_xml,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5375733/fullTextXML,OK_TEXT,application/xml
S61,europepmc_xml,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4695961/fullTextXML,OK_TEXT,application/xml
S66,europepmc_xml,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6479891/fullTextXML,OK_TEXT,application/xml
S67,europepmc_xml,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6983084/fullTextXML,OK_TEXT,application/xml
