id,title,year,venue,doi,source,replacement_key
S01,Data-driven model predictive control for irrigation management in agricultural greenhouses under CO2 enrichment,2025,Smart Agricultural Technology,10.1016/j.atech.2025.101071,verified original seed,
S02,Enhancing greenhouse efficiency: Integrating IoT and reinforcement learning for optimized climate control,2024,Sensors,10.3390/s24248109,verified replacement,platero2024enhancing
S03,RL-Guided MPC for Autonomous Greenhouse Control,2025,IFAC-PapersOnLine,10.1016/j.ifacol.2025.11.829,verified original seed,
S04,Event-triggered Predictive Control for Networked Systems with Communication Delays Compensation,2014,Automatica,10.1109/IECON.2014.7049044,verified replacement,tang2024predictive
S05,Greenhouse climate management: an optimal control approach,1994,Wageningen University and Research,,verified replacement,vanhenten1994greenhouse
S06,Using the Internet of Things to promote alternate wetting and drying irrigation for rice in Vietnam’s Mekong Delta,2021,Agronomy for Sustainable Development,10.1007/s13593-021-00705-z,verified replacement,pham2021using
S07,Reinforcement Learning versus Model Predictive Control on greenhouse climate control,2023,Computers and Electronics in Agriculture,10.1016/j.compag.2023.108372,verified replacement,caceres2023mpc
S08,Reinforcement learning-based model predictive control for greenhouse climate control,2025,Smart Agricultural Technology,10.1016/j.atech.2024.100751,verified original seed,
S09,Efficient energy management and temperature control of a high-tech greenhouse using an improved data-driven model predictive control,2025,Energy Conversion and Management: X,10.1016/j.ecmx.2025.100939,verified original seed,
S10,Predictive control for greenhouse temperature and humidity and energy optimization by improved NMPC objective function algorithm,2024,International Journal of Agricultural and Biological Engineering,10.25165/j.ijabe.20241705.8241,verified original seed,
S11,Learning-based multi-agent MPC for irrigation scheduling,2024,Control Engineering Practice,10.1016/j.conengprac.2024.105908,verified original seed,
S12,Robust sample-based model predictive control of a greenhouse system with parametric uncertainty,2022,IFAC-PapersOnLine,10.1016/j.ifacol.2022.11.135,verified original seed,
S13,Smart Irrigation System Considering Optimal Energy Management Based on Model Predictive Control (MPC),2022,Applied Sciences,10.3390/app12094235,verified original seed,
S14,Robust model predictive control for greenhouse temperature based on particle swarm optimization,2018,Information Processing in Agriculture,10.1016/j.inpa.2018.04.003,verified original seed,
S15,Event-Triggered Control for Scalar Networked Systems with Random Delays,2025,2025 6th International Conference on Artificial Intelligence and Electromechanical Automation (AIEA),10.1109/aiea66061.2025.11160534,verified original seed,
S16,Energy-Efficient Wireless Communication Strategy for Precision Agriculture Irrigation Control,2021,Sensors,10.3390/s21165541,verified original seed,
S17,Self-triggered Control with Energy Harvesting Sensor Nodes,2023,ACM Transactions on Cyber-Physical Systems,10.1145/3597311,verified original seed,
S18,A Sensitivity-Based Approach to Self-Triggered Nonlinear Model Predictive Control,2024,IEEE Access,10.1109/access.2024.3480522,verified original seed,
S19,Self-Triggered DMPC for Dynamically Coupled Systems With Reduced Conservatism,2025,IEEE Transactions on Industrial Informatics,10.1109/tii.2025.3593862,verified original seed,
S20,Self-Triggered Distributed Model Predictive Control with Synchronization Parameters Interaction,2024,arXiv (Cornell University),10.48550/arxiv.2405.11006,verified original seed,
S21,Event-Based Sensor Data Scheduling: Trade-Off Between Communication Rate and Estimation Quality,2013,IEEE Transactions on Automatic Control,10.1109/tac.2012.2215253,verified original seed,
S22,A survey on recent advances in event-triggered communication and control,2018,Information Sciences,,verified replacement,peng2018survey
S23,Data-driven-based fully distributed event-triggered control for nonlinear multi-agent systems,2025,Applied Mathematics and Computation,10.1016/j.amc.2025.129307,verified original seed,
S24,Event-Triggered Distributed Optimal Bipartite Consensus Control for Multi-Agent Systems via Adaptive Dynamic Programming,2025,"2025 10th International Conference on Control, Robotics and Cybernetics (CRC)",10.1109/crc67523.2025.11288265,verified original seed,
S25,Disturbance Rejection Self-Triggered Distributed MPC With Adaptive Prediction Horizon for Asynchronous Multiagent Systems,2024,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",10.1109/tsmc.2024.3350157,verified original seed,
S26,Semi–Global Exponential Stabilization of Nonlinear Time–Delay Systems via Sampled–Data Event–Triggered Controllers,2025,2025 IEEE 64th Conference on Decision and Control (CDC),10.1109/cdc57313.2025.11312052,verified original seed,
S27,Observer-based AE-T cooperative DMPC for a class of interconnected nonlinear systems with time delay and unmodeled dynamics,2025,International Journal of Systems Science,10.1080/00207721.2025.2467224,verified original seed,
S28,The event-triggered sampling optimization criterion for distributed networked monitoring and control systems,2003,"IEEE International Conference on Industrial Technology, 2003",10.1109/icit.2003.1290814,verified original seed,
S29,Stability of output event-based control systems through quadratic trigger functions,2015,2015 IEEE 20th Conference on Emerging Technologies &amp; Factory Automation (ETFA),10.1109/etfa.2015.7301402,verified original seed,
S30,A Learning Approach for Joint Design of Event-Triggered Control and Power-Efficient Resource Allocation,2022,IEEE Transactions on Vehicular Technology,10.1109/tvt.2022.3159739,verified original seed,
S31,Intelligent Condensation Irrigation System Based on Internet of Things,2023,"2023 5th International Conference on Intelligent Control, Measurement and Signal Processing (ICMSP)",10.1109/icmsp58539.2023.10170873,verified original seed,
S32,"Control, And Monitoring System Design Cultivation of Lettude Using Method Aeroponics Based on Smart Farming",2025,"2025 19th International Conference on Telecommunication Systems, Services, and Applications (TSSA)",10.1109/tssa68467.2025.11303843,verified original seed,
S34,Design and performance of nutrient dosing control system for hydroponic chilli plant using fuzzy logic controller,2025,"Journal of Mechatronics, Electrical Power, and Vehicular Technology",10.55981/j.mev.2025.910,verified original seed,
S35,Smart greenhouse construction and irrigation control system for optimal Brassica Juncea development,2023,Plos one,10.1371/journal.pone.0292971,verified replacement,huynh2023smart
S36,Design and Development of IoT Smart Drip Irrigation and Fertigation Prototype for Small and Medium Scale Farmers. Acase Study of Tomato Farmers in Tanzania,2025,Journal of The Institution of Engineers (India): Series A,10.1007/s40030-024-00857-7,verified original seed,
S37,IoT-Enabled Adaptive Watering System With ARIMA-Based Soil Moisture Prediction for Smart Agriculture,2025,IEEE Access,10.1109/access.2025.3532447,verified original seed,
S38,"Smart IoT Irrigation System Based on Fuzzy Logic, LoRa, and Cloud Integration",2024,Electronics,10.3390/electronics13101949,verified original seed,
S39,Evaluation of event-based irrigation system control scheme for tomato crops in greenhouses,2017,Agricultural Water Management,10.1016/j.agwat.2016.08.008,verified original seed,
S40,System Design of Online Monitoring and Controlling System Based on Zigbee in Greenhouse,2015,IFIP Advances in Information and Communication Technology,10.1007/978-3-319-19620-6_76,verified original seed,
S41,Research on Precision Paddy Field Irrigation Control Technology Based on Multi-Source Sensing Hybrid Model,2025,Digital Intelligence in Agriculture,10.62762/dia.2025.680966,verified original seed,
S42,Sustainable Smart Irrigation System (SIS) using solar PV with rainwater harvesting technique for indoor plants,2025,PLOS ONE,10.1371/journal.pone.0316911,verified original seed,
S43,A Solar-Powered Fertigation System Based on Low-Cost Wireless Sensor Network Remotely Controlled by Farmer for Irrigation Cycles and Crops Growth Optimization,2020,International Journal of Electronics and Telecommunications,10.24425/ijet.2019.130266,verified original seed,
S44,Design and Implementation of an Autonomous Intelligent Fertigation System for Cross-Regional Applications,2025,Actuators,10.3390/act14090413,verified original seed,
S45,Research and Development of an IoT Smart Irrigation System for Farmland Based on LoRa and Edge Computing,2025,Agronomy,10.3390/agronomy15020366,verified original seed,
S46,Leveraging LoRaWAN technology for precision agriculture in greenhouses,2020,Sensors,10.3390/s20071827,verified replacement,singh2020leveraging
S47,"Hybrid LoRaWAN–MQTT Architecture for Portable Smart Greenhouses: Cross-Layer Validation of Latency, Energy, and ADMR Trade-Offs",2025,IEEE Access,10.1109/access.2025.3643617,verified original seed,
S48,LoRa-Based Smart Agriculture Monitoring and Automatic Irrigation System,2025,Journal of Computer and Communications,10.4236/jcc.2025.133001,verified original seed,
S49,Wireless sensor networks for greenhouse climate and plant condition assessment,2017,Biosystems engineering,10.1016/j.biosystemseng.2016.11.005,verified replacement,ferentinos2017wireless
S50,WIRELESS SENSOR NETWORK BASED REMOTE DRIP IRRIGATION SYSTEM,2018,Mühendislik Bilimleri ve Tasarım Dergisi,10.21923/jesd.443576,verified original seed,
S51,IoT Based Smart Automated Agriculture and Real Time Monitoring System,2021,2021 2nd International Conference on Smart Electronics and Communication (ICOSEC),10.1109/icosec51865.2021.9591855,verified original seed,
S52,"Design, Implementation, and Empirical Validation of an IoT Smart Irrigation System for Fog Computing Applications Based on LoRa and LoRaWAN Sensor Nodes",2020,Sensors,10.3390/s20236865,verified original seed,
S55,Design of IoT Monitoring System Based on LoRaWAN Architecture for Smart Green House,2022,IOP Conference Series: Earth and Environmental Science,10.1088/1755-1315/1012/1/012090,verified original seed,
S56,Research and Design of Greenhouse Environment Monitoring System Based on NB-IoT,2021,2021 33rd Chinese Control and Decision Conference (CCDC),10.1109/ccdc52312.2021.9601377,verified original seed,
S57,Smart Agriculture: Automated Controlled Monitoring System using Internet of Things,2019,International Journal of Recent Technology and Engineering (IJRTE),10.35940/ijrte.c6538.098319,verified original seed,
