candidate_id,source_raw_id,title,year,doi,landing_url,pdf_url,final_decision,final_status,reason_code,evidence_level,evidence_text,retrieval_chain
FT001,RAW069,Renewable Energy Integration Into Cloud &amp; IoT-Based Smart Agriculture,2021,10.1109/access.2021.3138160,https://doi.org/10.1109/access.2021.3138160,,include,include_after_fulltext_metadata,A01_PNCE_all_present_in_available_text,openalex_unpaywall_metadata,"P=Renewable Energy Integration Into Cloud &amp; IoT-Based Smart Agriculture. Water is becoming scarcer. The unmonitored control and the extensive use of fossil fuel in water-table pumping for irrigation exacerbate global warming and harm the environment. Along with the rapid populati | N=Renewable Energy Integration Into Cloud &amp; IoT-Based Smart Agriculture. Water is becoming scarcer. The unmonitored control and the extensive use of fossil fuel in water-table pumping for irrigation exacerbate global warming and harm the environment. Along with th | C=d &amp; IoT-Based Smart Agriculture. Water is becoming scarcer. The unmonitored control and the extensive use of fossil fuel in water-table pumping for irrigation exacerbate global warming and harm the environment. Along with the rapid population growth and the concomitant increase in the demand for | E=r solution has been deployed and tested in a real-world Smart Farm testbed. The results have shown that the adoption of our SA system reduces the amount of water consumption (with a traditional irrigation system) up to 71.8&#x0025;. Finally, our solution is <i>open-source</i> and can be easily adopt",abstract_available+landing_url
FT002,RAW081,High-Order Neural-Network-Based Multi-Model Nonlinear Adaptive Decoupling Control for Microclimate Environment of Plant Factory,2023,10.3390/s23198323,https://doi.org/10.3390/s23198323,,include,include_after_fulltext_metadata,A01_PNCE_all_present_in_available_text,openalex_unpaywall_metadata,"P=ment of Plant Factory. Plant factory is an important field of practice in smart agriculture which uses highly sophisticated equipment for precision regulation of the environment to ensure crop growth and development efficiently. Environmental factors, such as temperature and humidity, significantly | N=High-Order Neural-Network-Based Multi-Model Nonlinear Adaptive Decoupling Control for Microclimate Environment of Plant Factory. Plant factory is an important field of practice in smart agriculture which uses highly sophisticated equipmen | C=High-Order Neural-Network-Based Multi-Model Nonlinear Adaptive Decoupling Control for Microclimate Environment of Plant Factory. Plant factory is an important field of practice in smart agriculture which uses highly sophisticated equipment for precision regulation of the environment to ensure | E=ar terms, consequently mitigating the impact of nonlinearity on the system. The simulation results show that the mean error and standard error of the traditional controller for temperature control are 0.3615 and 0.8425, respectively. In contrast, the proposed control strategy has made significant im",abstract_available+landing_url
FT003,RAW082,THE MECHANISM OF DIGITAL TRANSFORMATION OF AGRICULTURE,2023,10.12709/mest.11.11.02.09,https://doi.org/10.12709/mest.11.11.02.09,,exclude,exclude_fulltext,R06_missing_PNCE_CE,openalex_unpaywall_metadata,"P=THE MECHANISM OF DIGITAL TRANSFORMATION OF AGRICULTURE. &lt;em&gt;The article is devoted to the study of the construction of the mechanism of digital transformation of agriculture when building a management system for agro-industrial clusters. The new realities o | N=and management system techniques is an element of integration and activation of network, cluster, and other innovative mechanisms in the modernization of the management system in the agro-industrial complex. The development of the agriculture digital transformation will allow to specify of the tools | C=missing | E=missing",abstract_available+landing_url
FT004,RAW083,IOT-BASED SMART AGRICULTURE USING CLOUD BASED STORAGE,2022,10.56726/irjmets31282,https://doi.org/10.56726/irjmets31282,,include,include_after_fulltext_metadata,A01_PNCE_all_present_in_available_text,openalex_unpaywall_metadata,"P=IOT-BASED SMART AGRICULTURE USING CLOUD BASED STORAGE. There is less water available. The unchecked operation and excessive usage of fossil fuels in water-table pumping for irrigation contribute to global warming and harm the ecosystem. | N=IOT-BASED SMART AGRICULTURE USING CLOUD BASED STORAGE. There is less water available. The unchecked operation and excessive usage of fossil fuels in water-table pumping for irrigation contribute to global warming and har | C=ation contribute to global warming and harm the ecosystem. In addition to the rapid increase in population and the corresponding rise in food consumption. For sustainable agriculture, energy and the water table are increasingly essential and unavoidable. In this environment, Smart Agriculture (SA) i | E=or the water table. A real-world Smart Farm testbed has been used to deploy and evaluate our system. The outcomes have demonstrated that using our SA system reduces water use (compared to a conventional system).. International Research Journal of Modernization in Engineering Technology and Science",abstract_available+landing_url
FT005,RAW084,PLC Based Smart Irrigation System,2019,10.22214/ijraset.2019.6064,https://doi.org/10.22214/ijraset.2019.6064,,exclude,exclude_fulltext,R06_missing_PNCE_N,openalex_unpaywall_metadata,"P=PLC Based Smart Irrigation System. Agriculture has been the most essential practice from absolute starting point of the human progress. Customary strategies that are utilized for water system, for example, overhead sprinkler and surge compose, aren't that | N=missing | C=crop is monitored through sensors and as per need watering is done through the controlled irrigation. The relatively endless capacities of storage and preparing, the fast versatility makes distributed computing an alluring answer for the extensive sum of information produced. The main objective of | E=tarting point of the human progress. Customary strategies that are utilized for water system, for example, overhead sprinkler and surge compose, aren't that much effective. They bring about a considerable measure of wastage of water and can likewise advance infection, for example, parasite arrangeme",abstract_available+landing_url
FT006,RAW109,Research on the Three-Level Integrated Environmental Evaluation Model for Multi-Greenhouse Potatoes,2024,10.3390/agriculture14071043,https://doi.org/10.3390/agriculture14071043,,include,include_after_fulltext_metadata,A01_PNCE_all_present_in_available_text,openalex_unpaywall_metadata,"P=nd redundancy of the original data, laying a foundation for big data analysis.. Agriculture | N=nformation, a three-level fusion algorithm based on adaptive weighting, an LMBP network, and an improved D-S theory is proposed. The box-and-line graph method recognizes the original data and then replaces it based on the mean value method; the air temperature, humidity, and light intensity measurem | C=fusion result of each data level is considered comprehensively, and the remote control agency makes a decision, which makes full use of the complementary nature of multi-sensor information resources and solves the problem of fusion of multi-source environmental information and the problem of combin | E=Research on the Three-Level Integrated Environmental Evaluation Model for Multi-Greenhouse Potatoes. Aiming at the problems of large error and redundancy in the multi-node data acquisition of multi-greenhouse photo growth environmental information, a three-level fusion alg",abstract_available+landing_url
FT007,RAW110,Event and Time-Triggered Control Module Layers for Individual Robot Control Architectures of Unmanned Agricultural Ground Vehicles,2017,,https://openalex.org/W2774301718,,include,include_after_fulltext_metadata,A01_PNCE_all_present_in_available_text,openalex_unpaywall_metadata,"P=ntrol Architectures of Unmanned Agricultural Ground Vehicles. Automation in the agriculture sector has increased to an extent where the accompanying methods for unmanned field management are becoming more economically viable. This manifests in the industry’s recent presentation of conceptual cab-les | N=this system was shown by its entire implementation running on microcontrollers networked on a Time-Triggered Controller Area Network (TTCAN) bus. A basic form of user input and output was added to the system to demonstrate a simple instance of sub-system integration. In this work, all major levels | C=Event and Time-Triggered Control Module Layers for Individual Robot Control Architectures of Unmanned Agricultural Ground Vehicles. Automation in the agriculture sector has increased to an extent where the accompanying methods for unmanned field | E=field task automation. Additional recommendations for future time-triggered CML experiments in bus robustness and redundancy are discussed. The work presented is foundational in the shift from event-triggered communications towards time-triggered CMLs for unmanned agricultural machinery and is a fro",abstract_available+landing_url
FT008,RAW114,Holistic Control for Cyber-Physical Systems,2021,10.7936/31bn-m317,https://doi.org/10.7936/31bn-m317,,exclude,exclude_fulltext,R05_review_or_secondary_study,openalex_unpaywall_metadata,"P=e management of cyber platforms (networks and computing platforms) and physical plant control at run-time in an integrated architecture. Specifically, this dissertation research comprises the following primary components.\nHolistic wireless control: The core of holistic wireless control is a holisti | N=olistic Control for Cyber-Physical Systems. The Industrial Internet of Things (IIoT) are transforming industries through emerging technologies such as wireless networks, edge computing, and machine learning. However, IIoT technologies are not ready for control systems for industrial automation that | C=Holistic Control for Cyber-Physical Systems. The Industrial Internet of Things (IIoT) are transforming industries through emerging technologies such as wireless networks, edge computing, and machine learning. However, IIoT techno | E=platforms (WCPS-EC). The real-time WCPS provides a holistic environment for CPS simulations that incorporate wireless dynamics that are challenging to simulate accurately, explore the impacts and trade-off of computation and communication of multi-tier platforms, and leverage simulation support for",abstract_available+landing_url
FT009,RAW116,Renewable energy-powered semi-closed greenhouse for sustainable crop production using model predictive control and machine learning for energy management,2022,10.1016/j.rser.2022.112790,https://doi.org/10.1016/j.rser.2022.112790,,exclude,exclude_fulltext,R05_review_or_secondary_study,crossref_abstract_metadata,P=Renewable energy-powered semi-closed greenhouse for sustainable crop production using model predictive control and machine learning for energy management. . Renewable and Sustainable Energy Reviews | N=missing | C=d semi-closed greenhouse for sustainable crop production using model predictive control and machine learning for energy management. . Renewable and Sustainable Energy Reviews | E=Renewable energy-powered semi-closed greenhouse for sustainable crop production using model predictive control and machine learning for energy management. . Renewable and Sustainable Energy Reviews,metadata_only+landing_url; crossref=R05_review_or_secondary_study
FT010,RAW117,A model predictive controller for precision irrigation using discrete lagurre networks,2021,10.1016/j.compag.2020.105953,https://linkinghub.elsevier.com/retrieve/pii/S0168169920331586,,exclude,exclude_fulltext_unretrievable,R12_fulltext_or_abstract_unretrievable_after_OpenAlex_Unpaywall_Crossref_landing_checks,retrieval_failure_documented,No sufficient abstract/full-text evidence was retrievable. Conservative PRISMA eligibility rule: exclude rather than infer PNCE fit.,metadata_only+landing_url; crossref=R08_crossref_text_insufficient; landing=R10_landing_text_insufficient
FT011,RAW119,Model Predictive Control Structures for Periodic ON–OFF Irrigation,2023,10.1109/access.2023.3277618,https://doi.org/10.1109/access.2023.3277618,,exclude,exclude_fulltext,R06_missing_PNCE_N,openalex_unpaywall_metadata,"P=Model Predictive Control Structures for Periodic ON–OFF Irrigation. Agriculture accounts for approximately 70% of the world’s freshwater consumption. Furthermore, traditional irrigation practices, which rely on empirical methods, result in excessive water usage. This, in turn, leads to i | N=missing | C=Model Predictive Control Structures for Periodic ON–OFF Irrigation. Agriculture accounts for approximately 70% of the world’s freshwater consumption. Furthermore, traditional irrigation practices, which rely on empirical methods, result | E=her electricity consumption. The main objective of this study is to develop and evaluate periodic model predictive control structures that explicitly account for on-off irrigation, a characteristic of drip irrigation systems where watering can be turned on and off, but flow cannot be regulated. Whil",abstract_available+landing_url
FT012,RAW120,Hierarchical model predictive control for managing agricultural greenhouse systems,2022,10.1109/iai55780.2022.9976658,https://doi.org/10.1109/iai55780.2022.9976658,,exclude,exclude_fulltext,R06_missing_PNCE_N,openalex_unpaywall_metadata,"P=Hierarchical model predictive control for managing agricultural greenhouse systems. This paper presents a hierarchical model predictive control method for the management of agricultural greenhouse systems. The proposed approach consists of an optimization layer and a con | N=missing | C=Hierarchical model predictive control for managing agricultural greenhouse systems. This paper presents a hierarchical model predictive control method for the management of agricultural greenhouse systems. The proposed approach consists of an optimiz | E=esigned to track the reference trajectory obtained from the optimization layer. Simulation results show that the proposed method can reduce the total cost by R827 and the carbon emissions by 1.16 tons compared with the baseline method. Moreover, the designed MPC controller is verified to have good c",abstract_available+landing_url
FT013,RAW122,An Overview of Smart Irrigation Management for Improving Water Productivity under Climate Change in Drylands,2023,10.3390/agronomy13082113,https://doi.org/10.3390/agronomy13082113,,exclude,exclude_fulltext,R05_review_or_secondary_study,openalex_unpaywall_metadata,"P=oductivity, and food insecurity. This paper highlights the major constraints to agricultural productivity, traditional irrigation scheduling methods, and associated challenges, efforts, and progress to enhance water use efficiency (WUE), conserve water, and guarantee food security by overviewing dif | N=pproaches, such as artificial intelligence and deep learning (artificial neural network, fuzzy logic, expert system, hybrid intelligent system, and deep learning), model predictive irrigation systems, variable rate irrigation (VRI) technology, and unmanned aerial vehicles (UAVs) could ensure high wa | C=ork, fuzzy logic, expert system, hybrid intelligent system, and deep learning), model predictive irrigation systems, variable rate irrigation (VRI) technology, and unmanned aerial vehicles (UAVs) could ensure high water use efficiency in water-scarce regions. These smart irrigation technologies can | E=ion can drive better irrigation decisions that can help save water and increase yields. Various smart irrigation approaches, such as artificial intelligence and deep learning (artificial neural network, fuzzy logic, expert system, hybrid intelligent system, and deep learning), model predictive irrig",abstract_available+landing_url
FT014,RAW129,Internet of Things Approaches for Monitoring and Control of Smart Greenhouses in Industry 4.0,2022,10.3390/en15103834,https://doi.org/10.3390/en15103834,,exclude,exclude_fulltext,R05_review_or_secondary_study,openalex_unpaywall_metadata,"P=hange and a shortage of resources have brought about the need for technology in agriculture. Farmers have been forced to use information and innovation in communication in order to enhance production efficiency and crop resilience. Systems engineering and information infrastructure based on the Inte | N=ems engineering and information infrastructure based on the Internet of Things (IoT) are the main novel approaches that have generated growing interest. In agriculture, IoT solutions according to the challenges for Industry 4.0 can be applied to greenhouses. Greenhouses are protected environments in | C=Internet of Things Approaches for Monitoring and Control of Smart Greenhouses in Industry 4.0. In recent decades, climate change and a shortage of resources have brought about the need for technology in agriculture. Farmers have been forced to use information and innov | E=missing",abstract_available+landing_url
FT015,RAW130,"Cherry Tomato Production in Intelligent Greenhouses—Sensors and AI for Control of Climate, Irrigation, Crop Yield, and Quality",2020,10.3390/s20226430,https://doi.org/10.3390/s20226430,,exclude,exclude_fulltext,R05_review_or_secondary_study,openalex_unpaywall_metadata,"P=to Production in Intelligent Greenhouses—Sensors and AI for Control of Climate, Irrigation, Crop Yield, and Quality. Greenhouses and indoor farming systems play an important role in providing fresh and nutritious food for the growing global population. Farms are becoming larger and greenhouse grower | N=missing | C=Cherry Tomato Production in Intelligent Greenhouses—Sensors and AI for Control of Climate, Irrigation, Crop Yield, and Quality. Greenhouses and indoor farming systems play an important role in providing fresh and nutritious food for the growing global population. Farms are becoming larger a | E=results of the second ""Autonomous Greenhouse Challenge"". In this challenge, an experiment was conducted in six high-tech greenhouse compartments during a period of six months of cherry tomato growing. The primary goal of the greenhouse operation was to maximize net profit, by controlling the greenh",abstract_available+landing_url
FT016,RAW134,Smart greenhouses as the path towards precision agriculture in the food-energy and water nexus: case study of Qatar,2022,10.1007/s10669-022-09862-2,https://doi.org/10.1007/s10669-022-09862-2,,include,include_after_fulltext_metadata,A01_PNCE_all_present_in_available_text,openalex_unpaywall_metadata,"P=Smart greenhouses as the path towards precision agriculture in the food-energy and water nexus: case study of Qatar. Abstract Greenhouse farming is essential in increasing domestic crop production in countries with limited resources and a harsh climate like Qatar. Sma | N=ate variables by utilizing the latest control techniques, advanced metering and communication infrastructures, and smart management systems thus providing the optimal environment for crop development. However, due to the development of information technology, greenhouses are undergoing a big transfo | C=om adverse climate conditions, smart greenhouses provide precise regulation and control of the microclimate variables by utilizing the latest control techniques, advanced metering and communication infrastructures, and smart management systems thus providing the optimal environment for crop developm | E=Smart greenhouses as the path towards precision agriculture in the food-energy and water nexus: case study of Qatar. Abstract Greenhouse farming is essential in increasing domestic crop production in countries with limited resources and a harsh climate like Qatar. Smart greenhouse developmen",abstract_available+landing_url
