key,bib_title,bib_year,bib_author,bib_doi,verified_title,verified_year,verified_author,verified_doi,match_score,match_status,provider,is_mismatch
chang2015using,Using a Novel Wireless-Networked Decentralized Control Scheme under Unpredictable Environmental Conditions,2015,"Chang, Chung-Liang and Huang, Yi-Ming and Hong, Guo-Fong",,Using a Novel Wireless-Networked Decentralized Control Scheme under Unpredictable Environmental Conditions,2015,"Chang, Chung-Liang, Huang, Yi-Ming, Hong, Guo-Fong",10.3390/s151128690,1.0,high,crossref,no
ibrahim2018high,A high availability networked control system architecture for precision agriculture,2018,"Ibrahim, Hassan and Mostafa, Norhan and Halawa, Hassan and Elsalamouny, Malak and Daoud, Ramez and Amer, Hassanein and Shaarawi, Amr and Khattab, Ahmed and ElSayed, Hany",,A High Availability Networked Control System Architecture for Precision Agriculture,2018,"Ibrahim, Hassan, Mostafa, Norhan, Halawa, Hassan, Elsalamouny, Malak, Daoud, Ramez, Amer, Hassanein, Shaarawi, Amr, Khattab, Ahmed, ElSayed, Hany",10.1109/comapp.2018.8460420,1.0,high,crossref,no
ibrahim2019layered,A layered IoT architecture for greenhouse monitoring and remote control,2019,"Ibrahim, Hassan and Mostafa, Norhan and Halawa, Hassan and Elsalamouny, Malak and Daoud, Ramez and Amer, Hassanein and Adel, Yasmine and Shaarawi, Amr and Khattab, Ahmed and ElSayed, Hany",,A layered IoT architecture for greenhouse monitoring and remote control,2019,"Ibrahim, Hassan, Mostafa, Norhan, Halawa, Hassan, Elsalamouny, Malak, Daoud, Ramez, Amer, Hassanein, Adel, Yasmine, Shaarawi, Amr, Khattab, Ahmed, ElSayed, Hany",10.1007/s42452-019-0227-8,1.0,high,crossref,no
zhang2019networked,Networked control systems: A survey of trends and techniques,2020,"Zhang, Xian-Ming and Han, Qing-Long and Ge, Xiaohua and Ding, Derui and Ding, Lei and Yue, Dong and Peng, Chen",,Networked control systems: a survey of trends and techniques,2020,"Zhang, Xian-Ming, Han, Qing-Long, Ge, Xiaohua, Ding, Derui, Ding, Lei, Yue, Dong, Peng, Chen",10.1109/jas.2019.1911651,1.0,high,crossref,no
tipsuwan2003control,Control methodologies in networked control systems,2003,"Tipsuwan, Yodyium and Chow, Mo-Yuen",,Control methodologies in networked control systems,2003,"Tipsuwan, Yodyium, Chow, Mo-Yuen",10.1016/s0967-0661(03)00036-4,1.0,high,crossref,no
hespanha2007survey,A survey of recent results in networked control systems,2007,"Hespanha, Joo P and Naghshtabrizi, Payam and Xu, Yonggang",,A Survey of Recent Results in Networked Control Systems,2007,"Hespanha, Joo P., Naghshtabrizi, Payam, Xu, Yonggang",10.1109/jproc.2006.887288,1.0,high,crossref,no
zhang2001stability,Stability of networked control systems,2001,"Zhang, Wei and Branicky, Michael S and Phillips, Stephen M",,Stability of networked control systems,2001,,10.1109/37.898794,1.0,high,crossref,no
tabuada2007event,Event-triggered real-time scheduling of stabilizing control tasks,2007,"Tabuada, Paulo",,Event-Triggered Real-Time Scheduling of Stabilizing Control Tasks,2007,"Tabuada, Paulo",10.1109/tac.2007.904277,1.0,high,crossref,no
heemels2012introduction,An introduction to event-triggered and self-triggered control,2012,"Heemels, Wilhelmus PMH and Johansson, Karl Henrik and Tabuada, Paulo",,An introduction to event-triggered and self-triggered control,2012,"Heemels, W.P.M.H., Johansson, K.H., Tabuada, P.",10.1109/cdc.2012.6425820,1.0,high,crossref,no
donkers2011output,Output-Based Event-Triggered Control With Guaranteed $\mathcal{L}_{\infty}$-Gain and Improved and Decentralized Event-Triggering,2011,"Donkers, MCF and Heemels, WPMH",,Output-Based Event-Triggered Control With Guaranteed ${\cal L}_{\infty}$-Gain and Improved and Decentralized Event-Triggering,2012,"Donkers, M. C. F., Heemels, W. P. M. H.",10.1109/tac.2011.2174696,0.983,high,crossref,yes
lozoya2021energy,Energy-efficient wireless communication strategy for precision agriculture irrigation control,2021,"Lozoya, Camilo and Favela-Contreras, Antonio and Aguilar-Gonzalez, Alberto and F{\'e}lix-Herr{\'a}n, Luis Carlos and Orona, Luis",,Energy-Efficient Wireless Communication Strategy for Precision Agriculture Irrigation Control,2021,"Lozoya, Camilo, Favela-Contreras, Antonio, Aguilar-Gonzalez, Alberto, Félix-Herrán, L.C., Orona, Luis",10.3390/s21165541,1.0,high,crossref,no
dobrescu2019context,Context-aware control and monitoring system with IoT and cloud support,2019,"Dobrescu, Radu and Merezeanu, Daniel and Mocanu, Stefan",,Context-aware control and monitoring system with IoT and cloud support,2019,"Dobrescu, Radu, Merezeanu, Daniel, Mocanu, Stefan",10.1016/j.compag.2019.03.005,1.0,high,crossref,no
navarro2020systematic,A systematic review of IoT solutions for smart farming,2020,"Navarro, Emerson and Costa, Nuno and Pereira, Ant{\'o}nio",,A Systematic Review of IoT Solutions for Smart Farming,2020,"Navarro, Emerson, Costa, Nuno, Pereira, António",10.3390/s20154231,1.0,high,crossref,no
soussi2024smart,Smart sensors and smart data for precision agriculture: a review,2024,"Soussi, Abdellatif and Zero, Enrico and Sacile, Roberto and Trinchero, Daniele and Fossa, Marco",,Smart Sensors and Smart Data for Precision Agriculture: A Review,2024,"Soussi, Abdellatif, Zero, Enrico, Sacile, Roberto, Trinchero, Daniele, Fossa, Marco",10.3390/s24082647,1.0,high,crossref,no
garcia2020iot,IoT-based smart irrigation systems: An overview on the recent trends on sensors and IoT systems for irrigation in precision agriculture,2020,"Garc{\'\i}a, Laura and Parra, Lorena and Jimenez, Jose M and Lloret, Jaime and Lorenz, Pascal",,IoT-Based Smart Irrigation Systems: An Overview on the Recent Trends on Sensors and IoT Systems for Irrigation in Precision Agriculture,2020,"García, Laura, Parra, Lorena, Jimenez, Jose M., Lloret, Jaime, Lorenz, Pascal",10.3390/s20041042,1.0,high,crossref,yes
singh2020leveraging,Leveraging LoRaWAN technology for precision agriculture in greenhouses,2020,"Singh, Ritesh Kumar and Aernouts, Michiel and De Meyer, Mats and Weyn, Maarten and Berkvens, Rafael",,Leveraging LoRaWAN Technology for Precision Agriculture in Greenhouses,2020,"Singh, Ritesh, Aernouts, Michiel, De Meyer, Mats, Weyn, Maarten, Berkvens, Rafael",10.3390/s20071827,1.0,high,crossref,no
mahmoud2018fundamental,Fundamental issues in networked control systems,2018,"Mahmoud, Magdi S and Hamdan, Mutaz M",,Fundamental issues in networked control systems,2018,"Mahmoud, Magdi S., Hamdan, Mutaz M.",10.1109/jas.2018.7511162,1.0,high,crossref,no
nowzari2019event,Event-triggered communication and control of networked systems for multi-agent consensus,2019,"Nowzari, Cameron and Garcia, Eloy and Cort{\'e}s, Jorge",,Event-triggered communication and control of networked systems for multi-agent consensus,2019,"Nowzari, Cameron, Garcia, Eloy, Cortés, Jorge",10.1016/j.automatica.2019.03.009,1.0,high,crossref,no
ge2021dynamic,Dynamic event-triggered control and estimation: A survey,2021,"Ge, Xiaohua and Han, Qing-Long and Zhang, Xian-Ming and Ding, Derui",,Dynamic Event-triggered Control and Estimation: A Survey,2021,"Ge, Xiaohua, Han, Qing-Long, Zhang, Xian-Ming, Ding, Derui",10.1007/s11633-021-1306-z,1.0,high,crossref,no
page2021prisma,The PRISMA 2020 statement: an updated guideline for reporting systematic reviews,2021,"Page, Matthew J and McKenzie, Joanne E and Bossuyt, Patrick M and Boutron, Isabelle and Hoffmann, Tammy C and Mulrow, Cynthia D and Shamseer, Larissa and Tetzlaff, Jennifer M and Akl, Elie A and Brennan, Sue E and others",,The PRISMA 2020 statement: an updated guideline for reporting systematic reviews,2021,"Page, Matthew J, McKenzie, Joanne E, Bossuyt, Patrick M, Boutron, Isabelle, Hoffmann, Tammy C, Mulrow, Cynthia D, Shamseer, Larissa, Tetzlaff, Jennifer M, Akl, Elie A, Brennan, Sue E, Chou, Roger, Glanville, Julie, Grimshaw, Jeremy M, Hróbjartsson, Asbjørn, Lalu, Manoj M, Li, Tianjing, Loder, Elizabeth W, Mayo-Wilson, Evan, McDonald, Steve, McGuinness, Luke A, Stewart, Lesley A, Thomas, James, Tricco, Andrea C, Welch, Vivian A, Whiting, Penny, Moher, David",10.1136/bmj.n71,1.0,high,crossref,no
gs2019smart,Smart \& green: An internet-of-things framework for smart irrigation,2019,"GS Campos, Nidia and Rocha, Atslands R and Gondim, Rubens and Coelho da Silva, Ticiana L and Gomes, Danielo G",,Smart &amp; Green: An Internet-of-Things Framework for Smart Irrigation,2019,"G. S. Campos, Nidia, Rocha, Atslands R., Gondim, Rubens, Coelho da Silva, Ticiana L., Gomes, Danielo G.",10.3390/s20010190,0.97,high,crossref,yes
ferentinos2017wireless,Wireless sensor networks for greenhouse climate and plant condition assessment,2017,"Ferentinos, Konstantinos P and Katsoulas, Nikolaos and Tzounis, Antonis and Bartzanas, Thomas and Kittas, Constantinos",,Wireless sensor networks for greenhouse climate and plant condition assessment,2017,"Ferentinos, Konstantinos P., Katsoulas, Nikolaos, Tzounis, Antonis, Bartzanas, Thomas, Kittas, Constantinos",10.1016/j.biosystemseng.2016.11.005,1.0,high,crossref,no
pawlowski2017evaluation,Evaluation of event-based irrigation system control scheme for tomato crops in greenhouses,2017,"Pawlowski, A and S{\'a}nchez-Molina, JA and Guzm{\'a}n, JL and Rodr{\'\i}guez, F and Dormido, SJAWM",,Evaluation of event-based irrigation system control scheme for tomato crops in greenhouses,2017,"Pawlowski, A., Sánchez-Molina, J.A., Guzmán, J.L., Rodríguez, F., Dormido, S.",10.1016/j.agwat.2016.08.008,1.0,high,crossref,no
platero2024enhancing,Enhancing greenhouse efficiency: Integrating IoT and reinforcement learning for optimized climate control,2024,"Platero-Horcajadas, Manuel and Pardo-Pina, Sofia and C{\'a}mara-Zapata, Jos{\'e}-Mar{\'\i}a and Brenes-Carranza, Jos{\'e}-Antonio and Ferr{\'a}ndez-Pastor, Francisco-Javier",,Enhancing Greenhouse Efficiency: Integrating IoT and Reinforcement Learning for Optimized Climate Control,2024,"Platero-Horcajadas, Manuel, Pardo-Pina, Sofia, Cámara-Zapata, José-María, Brenes-Carranza, José-Antonio, Ferrández-Pastor, Francisco-Javier",10.3390/s24248109,1.0,high,crossref,no
pham2021using,Using the Internet of Things to promote alternate wetting and drying irrigation for rice in Vietnam’s Mekong Delta,2021,"Pham, Vu Bang and Diep, Thanh Tung and Fock, Karin and Nguyen, Thai Son",,Using the Internet of Things to promote alternate wetting and drying irrigation for rice in Vietnam’s Mekong Delta,2021,"Pham, Vu Bang, Diep, Thanh Tung, Fock, Karin, Nguyen, Thai Son",10.1007/s13593-021-00705-z,1.0,high,crossref,no
