"date","temp_c","dew_c","humidity","wind_kph","pressure_hg","precip_mm","district","year","month"
2010-01-01,4.18,-2.09,66,9.4,30.98,0,"adachi-ku",2010,"january"
2010-01-02,5.22,-1.04,63,7.31,31.13,0,"adachi-ku",2010,"january"
2010-01-03,4.18,1.04,79,13.58,31.1,0,"adachi-ku",2010,"january"
2010-01-04,5.22,0,70,10.45,31.29,0,"adachi-ku",2010,"january"
2010-01-05,9.4,4.18,72,18.81,30.98,0.84,"adachi-ku",2010,"january"
2010-01-06,5.22,-1.04,64,11.49,31.07,0,"adachi-ku",2010,"january"
2010-01-07,6.27,-1.04,62,14.63,31.04,0,"adachi-ku",2010,"january"
2010-01-08,6.27,0,67,12.54,31.23,0,"adachi-ku",2010,"january"
2010-01-09,6.27,0,64,10.45,31.38,0,"adachi-ku",2010,"january"
2010-01-10,6.27,0,68,13.58,31.41,0,"adachi-ku",2010,"january"
2010-01-11,4.18,1.04,78,10.45,31.41,0,"adachi-ku",2010,"january"
2010-01-12,4.18,2.09,88,8.36,31.13,2.19,"adachi-ku",2010,"january"
2010-01-13,4.18,-1.04,71,16.72,30.98,0,"adachi-ku",2010,"january"
2010-01-14,3.13,-4.18,63,8.36,31.35,0,"adachi-ku",2010,"january"
2010-01-15,4.18,-1.04,69,5.22,31.47,0.1,"adachi-ku",2010,"january"
2010-01-16,3.13,-3.13,65,14.63,31.6,0.1,"adachi-ku",2010,"january"
2010-01-17,4.18,-4.18,58,10.45,31.69,0,"adachi-ku",2010,"january"
2010-01-18,4.18,-1.04,66,8.36,31.69,0,"adachi-ku",2010,"january"
2010-01-19,8.36,5.22,71,8.36,31.75,0,"adachi-ku",2010,"january"
2010-01-20,11.49,5.22,67,13.58,31.57,0,"adachi-ku",2010,"january"
2010-01-21,13.58,8.36,77,22.99,31.04,0.73,"adachi-ku",2010,"january"
2010-01-22,5.22,-1.04,60,13.58,31.32,0,"adachi-ku",2010,"january"
2010-01-23,5.22,1.04,73,10.45,31.26,0.1,"adachi-ku",2010,"january"
2010-01-24,6.27,1.04,65,10.45,31.44,0.1,"adachi-ku",2010,"january"
2010-01-25,8.36,2.09,63,10.45,31.29,0,"adachi-ku",2010,"january"
2010-01-26,5.22,-2.09,59,19.85,31.47,0,"adachi-ku",2010,"january"
2010-01-27,7.31,1.04,62,12.54,31.6,0,"adachi-ku",2010,"january"
2010-01-28,11.49,6.27,77,19.85,31.2,0,"adachi-ku",2010,"january"
2010-01-29,7.31,6.27,86,10.45,31.23,0.42,"adachi-ku",2010,"january"
2010-01-30,7.31,3.13,70,10.45,31.41,0.63,"adachi-ku",2010,"january"
2010-01-31,8.36,4.18,72,8.36,31.44,0,"adachi-ku",2010,"january"
2010-01-01,4.27,-2.14,66,9.61,31.65,0,"arakawa-ku",2010,"january"
2010-01-02,5.34,-1.07,63,7.47,31.81,0,"arakawa-ku",2010,"january"
2010-01-03,4.27,1.07,79,13.88,31.78,0,"arakawa-ku",2010,"january"
2010-01-04,5.34,0,70,10.68,31.97,0,"arakawa-ku",2010,"january"
2010-01-05,9.61,4.27,72,19.22,31.65,0.85,"arakawa-ku",2010,"january"
2010-01-06,5.34,-1.07,64,11.74,31.75,0,"arakawa-ku",2010,"january"
2010-01-07,6.41,-1.07,62,14.95,31.72,0,"arakawa-ku",2010,"january"
2010-01-08,6.41,0,67,12.81,31.9,0,"arakawa-ku",2010,"january"
2010-01-09,6.41,0,64,10.68,32.06,0,"arakawa-ku",2010,"january"
2010-01-10,6.41,0,68,13.88,32.09,0,"arakawa-ku",2010,"january"
2010-01-11,4.27,1.07,78,10.68,32.09,0,"arakawa-ku",2010,"january"
2010-01-12,4.27,2.14,88,8.54,31.81,2.24,"arakawa-ku",2010,"january"
2010-01-13,4.27,-1.07,71,17.08,31.65,0,"arakawa-ku",2010,"january"
2010-01-14,3.2,-4.27,63,8.54,32.03,0,"arakawa-ku",2010,"january"
2010-01-15,4.27,-1.07,69,5.34,32.16,0.11,"arakawa-ku",2010,"january"
2010-01-16,3.2,-3.2,65,14.95,32.28,0.11,"arakawa-ku",2010,"january"
2010-01-17,4.27,-4.27,58,10.68,32.38,0,"arakawa-ku",2010,"january"
2010-01-18,4.27,-1.07,66,8.54,32.38,0,"arakawa-ku",2010,"january"
2010-01-19,8.54,5.34,71,8.54,32.44,0,"arakawa-ku",2010,"january"
2010-01-20,11.74,5.34,67,13.88,32.25,0,"arakawa-ku",2010,"january"
2010-01-21,13.88,8.54,77,23.49,31.72,0.75,"arakawa-ku",2010,"january"
2010-01-22,5.34,-1.07,60,13.88,32,0,"arakawa-ku",2010,"january"
2010-01-23,5.34,1.07,73,10.68,31.94,0.11,"arakawa-ku",2010,"january"
2010-01-24,6.41,1.07,65,10.68,32.13,0.11,"arakawa-ku",2010,"january"
2010-01-25,8.54,2.14,63,10.68,31.97,0,"arakawa-ku",2010,"january"
2010-01-26,5.34,-2.14,59,20.28,32.16,0,"arakawa-ku",2010,"january"
2010-01-27,7.47,1.07,62,12.81,32.28,0,"arakawa-ku",2010,"january"
2010-01-28,11.74,6.41,77,20.28,31.87,0,"arakawa-ku",2010,"january"
2010-01-29,7.47,6.41,86,10.68,31.9,0.43,"arakawa-ku",2010,"january"
2010-01-30,7.47,3.2,70,10.68,32.09,0.64,"arakawa-ku",2010,"january"
2010-01-31,8.54,4.27,72,8.54,32.13,0,"arakawa-ku",2010,"january"
2010-01-01,4.27,-2.14,66,9.62,31.68,0,"bunkyo-ku",2010,"january"
2010-01-02,5.34,-1.07,63,7.48,31.84,0,"bunkyo-ku",2010,"january"
2010-01-03,4.27,1.07,79,13.89,31.81,0,"bunkyo-ku",2010,"january"
2010-01-04,5.34,0,70,10.69,32,0,"bunkyo-ku",2010,"january"
2010-01-05,9.62,4.27,72,19.24,31.68,0.85,"bunkyo-ku",2010,"january"
2010-01-06,5.34,-1.07,64,11.76,31.78,0,"bunkyo-ku",2010,"january"
2010-01-07,6.41,-1.07,62,14.96,31.75,0,"bunkyo-ku",2010,"january"
2010-01-08,6.41,0,67,12.82,31.94,0,"bunkyo-ku",2010,"january"
2010-01-09,6.41,0,64,10.69,32.1,0,"bunkyo-ku",2010,"january"
2010-01-10,6.41,0,68,13.89,32.13,0,"bunkyo-ku",2010,"january"
2010-01-11,4.27,1.07,78,10.69,32.13,0,"bunkyo-ku",2010,"january"
2010-01-12,4.27,2.14,88,8.55,31.84,2.24,"bunkyo-ku",2010,"january"
2010-01-13,4.27,-1.07,71,17.1,31.68,0,"bunkyo-ku",2010,"january"
2010-01-14,3.21,-4.27,63,8.55,32.06,0,"bunkyo-ku",2010,"january"
2010-01-15,4.27,-1.07,69,5.34,32.19,0.11,"bunkyo-ku",2010,"january"
2010-01-16,3.21,-3.21,65,14.96,32.32,0.11,"bunkyo-ku",2010,"january"
2010-01-17,4.27,-4.27,58,10.69,32.41,0,"bunkyo-ku",2010,"january"
2010-01-18,4.27,-1.07,66,8.55,32.41,0,"bunkyo-ku",2010,"january"
2010-01-19,8.55,5.34,71,8.55,32.47,0,"bunkyo-ku",2010,"january"
2010-01-20,11.76,5.34,67,13.89,32.28,0,"bunkyo-ku",2010,"january"
2010-01-21,13.89,8.55,77,23.51,31.75,0.75,"bunkyo-ku",2010,"january"
2010-01-22,5.34,-1.07,60,13.89,32.03,0,"bunkyo-ku",2010,"january"
2010-01-23,5.34,1.07,73,10.69,31.97,0.11,"bunkyo-ku",2010,"january"
2010-01-24,6.41,1.07,65,10.69,32.16,0.11,"bunkyo-ku",2010,"january"
2010-01-25,8.55,2.14,63,10.69,32,0,"bunkyo-ku",2010,"january"
2010-01-26,5.34,-2.14,59,20.31,32.19,0,"bunkyo-ku",2010,"january"
2010-01-27,7.48,1.07,62,12.82,32.32,0,"bunkyo-ku",2010,"january"
2010-01-28,11.76,6.41,77,20.31,31.91,0,"bunkyo-ku",2010,"january"
2010-01-29,7.48,6.41,86,10.69,31.94,0.43,"bunkyo-ku",2010,"january"
2010-01-30,7.48,3.21,70,10.69,32.13,0.64,"bunkyo-ku",2010,"january"
2010-01-31,8.55,4.27,72,8.55,32.16,0,"bunkyo-ku",2010,"january"
2010-01-01,4.04,-2.02,66,9.1,29.97,0,"chiyoda-ku",2010,"january"
2010-01-02,5.05,-1.01,63,7.08,30.12,0,"chiyoda-ku",2010,"january"
2010-01-03,4.04,1.01,79,13.14,30.09,0,"chiyoda-ku",2010,"january"
2010-01-04,5.05,0,70,10.11,30.27,0,"chiyoda-ku",2010,"january"
2010-01-05,9.1,4.04,72,18.19,29.97,0.81,"chiyoda-ku",2010,"january"
2010-01-06,5.05,-1.01,64,11.12,30.06,0,"chiyoda-ku",2010,"january"
2010-01-07,6.06,-1.01,62,14.15,30.03,0,"chiyoda-ku",2010,"january"
2010-01-08,6.06,0,67,12.13,30.21,0,"chiyoda-ku",2010,"january"
2010-01-09,6.06,0,64,10.11,30.36,0,"chiyoda-ku",2010,"january"
