policy,network,seed,rmse_total,iae_total,violation_pct,violation_mag,transmissions,bytes_sent,energy_mj,channel_loss_pct,congestion_drops,avg_aoi,max_aoi,fairness,rmse_temperature,rmse_humidity,rmse_co2,rmse_soil_moisture
periodic_all,good,2026,0.1559563480536465,51.147817978375244,10.555555555555555,1.9985164319273339,720,12960,1663.2,0.0,720,90.75,360.0,0.5055399961634356,0.3096812875108896,0.022357939078683,0.03165830600919326,0.2601278596158202
round_robin,good,2026,0.09961955481818763,30.46588515804642,11.11111111111111,2.682848812379,720,12960,1663.2,0.0,720,1.7472222222222222,3.0,0.9999974724420059,0.31584428505803896,0.022516206737285115,0.03042497963455351,0.029692747842872923
error_trigger,good,2026,0.09808435508677137,30.362464472982904,10.555555555555555,2.002960094184324,720,12942,1661.04,0.0,720,3.5756944444444443,30.0,0.8348274906524026,0.30995887092526564,0.023070311008732997,0.03002876619573215,0.029279472217354656
aoi,good,2026,0.09851403564157966,30.166304859195414,11.38888888888889,2.3434415179502377,720,12960,1663.2,0.0,718,1.4986111111111111,2.0,0.9999991410442162,0.3118212267426019,0.02254409467059402,0.030138590181546937,0.029552230971575832
risk,good,2026,0.1298359200645624,39.397478779102784,10.555555555555555,1.9801256484059828,213,3808,564.96,0.0,0,94.4263888888889,360.0,0.5542695349664514,0.29695073131115907,0.037267800028180004,0.03165830600919326,0.15346684290971718
cvoi,good,2026,0.09794008659365884,30.154723636483588,10.555555555555555,1.9984032342222213,719,12934,1660.08,0.0,718,1.6520833333333333,4.0,0.9762357755276803,0.30940581016058055,0.022368851923317442,0.030885511875270284,0.02910017241546708
periodic_all,good,2027,0.17942005324308882,59.61769686923273,10.833333333333334,2.1066896572764438,720,12960,1663.2,0.0,720,90.75,360.0,0.5055399961634356,0.30996954131796595,0.021227590474532893,0.026571950051974123,0.35991113112788237
round_robin,good,2027,0.09774588947929991,29.963290048467222,11.11111111111111,2.8256292012750484,720,12960,1663.2,0.0,720,1.7472222222222222,3.0,0.9999974724420059,0.31599706585506326,0.021837242065522053,0.02420063024191958,0.02894861975469471
error_trigger,good,2027,0.0958954655043619,29.719612116070902,10.833333333333334,2.1066896572764438,720,12858,1650.96,0.0,720,3.8777777777777778,30.0,0.8101377800725276,0.30996954131796595,0.021694668799159957,0.02281627013221876,0.02910138176810293
aoi,good,2027,0.09657347591176507,29.71649122448607,11.666666666666666,2.5037601744779057,720,12960,1663.2,0.0,718,1.4986111111111111,2.0,0.9999991410442162,0.3120825246535987,0.021584828831049084,0.023743569144771062,0.028882981017641463
risk,good,2027,0.13279481680366734,39.847744206790665,10.555555555555555,2.0793696516312825,211,3764,559.6800000000001,0.0,0,95.36597222222223,360.0,0.555908300945162,0.2967965305189873,0.049230420530204044,0.026571950051974123,0.15858036611350396
cvoi,good,2027,0.09610143534780269,29.720142092283524,10.833333333333334,2.1086640331567263,719,12930,1659.6,0.0,718,1.6479166666666667,4.0,0.9768986373128555,0.30962554782398477,0.021760659717787498,0.023578716368891462,0.029440817480547023
periodic_all,good,2028,0.16231000824122077,53.38451739512663,10.277777777777779,1.748775873740961,720,12960,1663.2,0.0,720,90.75,360.0,0.5055399961634356,0.307264778366424,0.022270939126403065,0.031025730680974903,0.28867858479108105
round_robin,good,2028,0.09967425455923803,30.5814903637981,11.11111111111111,2.3911129228750383,720,12960,1663.2,0.0,720,1.7472222222222222,3.0,0.9999974724420059,0.31317649090278354,0.022563959708560337,0.027709016425618887,0.035247551199989346
error_trigger,good,2028,0.09863379521203516,30.76542714853619,10.277777777777779,1.748775873740961,720,12798,1643.76,0.0,720,3.875694444444444,29.0,0.7719548766312062,0.3072272274396875,0.023127561084980694,0.028738755891191504,0.03544163643228095
aoi,good,2028,0.09852853977961479,30.321889353497077,11.38888888888889,2.090770552773597,720,12960,1663.2,0.0,718,1.4986111111111111,2.0,0.9999991410442162,0.30961910290337247,0.022423637816708235,0.02752030937856639,0.03455110901981209
risk,good,2028,0.13916129739678276,42.82636459930608,10.0,1.7321415877580306,217,3884,574.0799999999999,0.0,0,95.27361111111111,360.0,0.5658899871639891,0.2974406410735501,0.06998913312330006,0.031025730680974903,0.15818968470930592
cvoi,good,2028,0.09787303956574225,30.249856570498277,10.277777777777779,1.7490578386338673,720,12952,1662.24,0.0,718,1.6465277777777778,4.0,0.9767994447896545,0.307034996442746,0.02225036490920227,0.027478999481864892,0.03472779742915582
periodic_all,good,2029,0.15727662491998662,51.66248680491459,10.833333333333334,1.8413268214292358,720,12960,1663.2,0.0,720,90.75,360.0,0.5055399961634356,0.30787854116349067,0.022214388900181094,0.03305792364183716,0.2659556459744375
round_robin,good,2029,0.09857507801641552,30.17926453483823,11.38888888888889,2.5470560004655693,720,12960,1663.2,0.0,720,1.7472222222222222,3.0,0.9999974724420059,0.31404656116582214,0.022231173786346304,0.02650962624807446,0.03151295086541914
error_trigger,good,2029,0.09641919034765173,29.946537561660474,10.833333333333334,1.8413268214292358,720,12886,1654.32,0.0,720,4.009027777777779,39.0,0.7170765386726142,0.30787854116349067,0.02119239637268355,0.026267413854229073,0.030338410000203594
aoi,good,2029,0.09736234886508262,29.92477713582658,11.38888888888889,2.230531663971965,720,12960,1663.2,0.0,718,1.4986111111111111,2.0,0.9999991410442162,0.3099422763851394,0.02247326192122678,0.02638047101826088,0.030653386135703373
risk,good,2029,0.13180784697983455,40.18336546525829,10.833333333333334,1.8038006388169467,208,3710,553.2,0.0,0,95.86597222222223,360.0,0.5611682894488046,0.29454493791497494,0.039445888754126676,0.03305792364183716,0.16018263760839946
cvoi,good,2029,0.0969257636616173,29.947268629801332,10.833333333333334,1.8411075110075998,718,12914,1657.6799999999998,0.0,718,1.6472222222222221,4.0,0.977165143163048,0.3074437642767269,0.022465075034925935,0.026788133198520733,0.03100608213629557
periodic_all,good,2030,0.20996733214231797,70.48081300255893,79.16666666666667,22.801660418582717,720,12960,1663.2,0.0,720,90.75,360.0,0.5055399961634356,0.30643642983164027,0.022517341569901546,0.030652753570443152,0.4802628035972869
round_robin,good,2030,0.0996729819221182,30.5253144469627,10.555555555555555,2.3398751229062875,720,12960,1663.2,0.0,720,1.7472222222222222,3.0,0.9999974724420059,0.3118013118917952,0.023028626819014342,0.02755204491705118,0.03630994406061204
error_trigger,good,2030,0.09765150898243553,30.220473431308264,10.0,1.7853805510980898,720,12876,1653.12,0.0,720,4.345138888888888,36.0,0.8279950945506335,0.30643642983164027,0.0237998109887492,0.027283917710593537,0.03308587739875912
aoi,good,2030,0.09862818231243933,30.325511100794774,11.38888888888889,2.1338968419285362,720,12960,1663.2,0.0,718,1.4986111111111111,2.0,0.9999991410442162,0.3088743751549915,0.02278821267633071,0.027097696608445274,0.03575244480998985
risk,good,2030,0.1333847892819759,40.95172464625174,9.722222222222221,1.7655725559432387,213,3802,564.24,0.0,0,95.96319444444444,360.0,0.5621758865604157,0.2945916048119502,0.039473665940699,0.030652753570443152,0.16882113280481123
cvoi,good,2030,0.0982133176946712,30.330426497230974,10.0,1.7849558544210895,719,12930,1659.6,0.0,718,1.6430555555555557,4.0,0.9780699547186121,0.3061790528929196,0.02276167333215215,0.027324506398293244,0.03658803815531981
periodic_all,good,2031,0.11293886665147782,35.46261410883219,10.555555555555555,1.806690755073625,720,12960,1663.2,0.0,720,90.75,360.0,0.5055399961634356,0.3082454710739769,0.0211012585700246,0.05168300903250367,0.07072572792940615
round_robin,good,2031,0.0978944960546584,30.089886108615413,11.38888888888889,2.4569622731334997,720,12960,1663.2,0.0,720,1.7472222222222222,3.0,0.9999974724420059,0.3136632082696227,0.021564432033431735,0.02891334928597364,0.027436994629605516
error_trigger,good,2031,0.09704071548078663,30.241440174215455,10.555555555555555,1.806690755073625,720,12930,1659.6,0.0,720,3.6541666666666663,27.0,0.7892533827505317,0.3082454710739769,0.022338931908552954,0.028153071234540573,0.02942538770607612
aoi,good,2031,0.0969199593045798,29.921625210721164,11.666666666666666,2.220464695596477,720,12960,1663.2,0.0,718,1.4986111111111111,2.0,0.9999991410442162,0.31063894903008193,0.021426838396544884,0.028408444823876916,0.02720560496781544
risk,good,2031,0.12087526053003228,35.7253375737492,10.0,1.7765213032468354,197,3536,532.3199999999999,0.0,0,103.6888888888889,360.0,0.686983363694091,0.2941496519513046,0.031101923294447192,0.03689871189838451,0.12135075497599285
cvoi,good,2031,0.09644223655054676,29.913514972423435,10.555555555555555,1.805970207680661,718,12908,1656.96,0.0,718,1.6465277777777776,4.0,0.9771770607503915,0.3079519984247483,0.021344739391493155,0.028652842076097407,0.027819366309848142
periodic_all,good,2032,0.20017430322287272,66.85674716070766,55.833333333333336,7.661831491423304,720,12960,1663.2,0.0,720,90.75,360.0,0.5055399961634356,0.3078417978512825,0.023253383483069608,0.04897636996945926,0.42062566158767956
round_robin,good,2032,0.0987828093937627,30.245364157972574,11.38888888888889,2.398645145748826,720,12960,1663.2,0.0,720,1.7472222222222222,3.0,0.9999974724420059,0.3133313400221799,0.02348525802063738,0.024992150711660437,0.03332248882057308
error_trigger,good,2032,0.09792315043348791,30.35782516351079,9.444444444444445,1.7349239747011929,720,12844,1649.28,0.0,720,3.785416666666667,32.0,0.8005401181736845,0.3078417978512825,0.02429517101706856,0.02668725466971382,0.032868378195886706
aoi,good,2032,0.09774007476463682,30.043784454377302,11.666666666666666,2.0897332045260564,720,12960,1663.2,0.0,718,1.4986111111111111,2.0,0.9999991410442162,0.310123897875898,0.023183168494456906,0.024983261470115987,0.03266997121807643
