sensitivity_factor,scenario,method,seed,forecast_regime,trigger_delta,loss_scale,burst_scale,alpha,beta,gamma,exogenous_hash,rmse,iae,transmissions,tx_rate_pct,packet_loss_pct,violation_pct,tx_energy_mj,baseline_energy_mj,total_modeled_energy_mj
forecast,Mekong-Synthetic,ET-MPC,2026,persistence,0.05,1.0,1.0,0.85,0.15,0.15,7e803f7ee475bf62816034ee923701875530291eb8410196d3f0c606ea9a5c5e,1.0766811436650134,193.92933005481532,57,19.06354515050167,24.56140350877193,5.351170568561873,1140.0,900.0,2040.0
forecast,Mekong-Synthetic,ET-MPC,2027,persistence,0.05,1.0,1.0,0.85,0.15,0.15,c14ae88d487bb93f976d4e0c9af3ba4ac529c4008d2aea47d68a1cec6ddfbfbb,1.272073052488118,225.8102781092688,64,21.40468227424749,32.8125,8.695652173913043,1280.0,900.0,2180.0
forecast,Mekong-Synthetic,ET-MPC,2028,persistence,0.05,1.0,1.0,0.85,0.15,0.15,fedf7c4a2c7871a0e4680d3cc59076daa7c90dfb0ff55d09ad4759fcb90081df,1.141787845155518,206.50959657625896,62,20.735785953177256,32.25806451612903,6.354515050167224,1240.0,900.0,2140.0
forecast,Mekong-Synthetic,ET-MPC,2029,persistence,0.05,1.0,1.0,0.85,0.15,0.15,c3bb168946c896796f5e8565ff1a0084f8ccf5866c8c5189fe62fe00b70830a1,1.1274810994701367,193.8883974270868,55,18.39464882943144,30.90909090909091,5.016722408026756,1100.0,900.0,2000.0
forecast,Mekong-Synthetic,ET-MPC,2030,persistence,0.05,1.0,1.0,0.85,0.15,0.15,1886d32bc065eecd277560ff2a01bab42cbf45d4c82d1766b01b1cee279137f8,1.1303737966012741,201.7204130013391,62,20.735785953177256,30.64516129032258,6.688963210702341,1240.0,900.0,2140.0
forecast,Mekong-Synthetic,ET-MPC,2031,persistence,0.05,1.0,1.0,0.85,0.15,0.15,c63ead25ab03cd96842d1b9a4e790611f4afa7dba28184547c73cc220395665c,1.122959470177951,201.910320707761,60,20.066889632107024,28.333333333333332,4.682274247491639,1200.0,900.0,2100.0
forecast,Mekong-Synthetic,ET-MPC,2032,persistence,0.05,1.0,1.0,0.85,0.15,0.15,91eecc62989b6bee99e9695dc98ce8dc73fca3e8b851a2e74f86d526847e419c,1.2481641236263388,230.04999020768923,62,20.735785953177256,33.87096774193548,9.698996655518394,1240.0,900.0,2140.0
forecast,Mekong-Synthetic,ET-MPC,2033,persistence,0.05,1.0,1.0,0.85,0.15,0.15,8f1471f47e225d3c516393af84ae662103f37dcc816de50fe2ea58e41bd81f59,1.2336207014624982,235.26363768171115,58,19.39799331103679,32.758620689655174,7.023411371237458,1160.0,900.0,2060.0
forecast,Mekong-Synthetic,ET-MPC,2034,persistence,0.05,1.0,1.0,0.85,0.15,0.15,040443b9a57b58e8860dbe62d377659b3bd96ddf2cf7d9148fdf8fd32c63779d,1.1076342381702866,198.36821598569577,70,23.411371237458194,40.0,4.682274247491639,1400.0,900.0,2300.0
forecast,Mekong-Synthetic,ET-MPC,2035,persistence,0.05,1.0,1.0,0.85,0.15,0.15,3302abdac216d672687cbb302481baa7a1acf2d8e03ce74ea26885fad60dee6c,1.1265789301414517,210.54868098053515,56,18.729096989966557,17.857142857142858,4.682274247491639,1120.0,900.0,2020.0
forecast,Mekong-Synthetic,ET-MPC,2036,persistence,0.05,1.0,1.0,0.85,0.15,0.15,f5da7242a4219abeb2a3793803d0b21413838d6c5be05b54b25689898ffadce1,1.2618618706755416,227.09294803994598,62,20.735785953177256,35.483870967741936,8.361204013377927,1240.0,900.0,2140.0
forecast,Mekong-Synthetic,ET-MPC,2037,persistence,0.05,1.0,1.0,0.85,0.15,0.15,d7bd22d19cdf158f6e01098216bbef3ffcac9d1f4c943ef08ab40c87df8a5b2b,1.233302932851057,223.66977772137247,60,20.066889632107024,35.0,8.02675585284281,1200.0,900.0,2100.0
forecast,Mekong-Synthetic,ET-MPC,2038,persistence,0.05,1.0,1.0,0.85,0.15,0.15,1e1e07557ed96a2c0afc452c074211d1b5d83c8aeef2a0d6dd3bce82fc573e3a,1.1116361143794624,198.46594531403622,57,19.06354515050167,24.56140350877193,6.0200668896321075,1140.0,900.0,2040.0
forecast,Mekong-Synthetic,ET-MPC,2039,persistence,0.05,1.0,1.0,0.85,0.15,0.15,cc9e884dafd4802a172381f9b897a1dd554065b611b37d5694661c44ef3fad47,1.0578440298736738,188.9158454661624,55,18.39464882943144,25.454545454545453,5.68561872909699,1100.0,900.0,2000.0
forecast,Mekong-Synthetic,ET-MPC,2040,persistence,0.05,1.0,1.0,0.85,0.15,0.15,6e927d8e6fc0a6884bec0d40621cb2f898380167831eb8d2ecab45e69894c460,1.2316496418733103,213.01808684544625,56,18.729096989966557,28.571428571428573,6.0200668896321075,1120.0,900.0,2020.0
forecast,Mekong-Synthetic,ET-MPC,2041,persistence,0.05,1.0,1.0,0.85,0.15,0.15,2e66f567d694001657219307eadd8a1045e344921301bcce59f46a5cdb99fb3c,1.1508948921460287,198.93884009106037,67,22.40802675585284,35.82089552238806,7.6923076923076925,1340.0,900.0,2240.0
forecast,Mekong-Synthetic,ET-MPC,2042,persistence,0.05,1.0,1.0,0.85,0.15,0.15,5dc25b4385d0b479b52d15f9f8e150655842b34a2bc5e0bf0d32311e97653639,1.1592133418695993,214.6515128221128,64,21.40468227424749,39.0625,6.0200668896321075,1280.0,900.0,2180.0
forecast,Mekong-Synthetic,ET-MPC,2043,persistence,0.05,1.0,1.0,0.85,0.15,0.15,d54f0a6da3a8c52d02508ae4f625c7a058d2e46346e05d48ebf9faa3d9b32324,1.0798102208469822,179.20670934884564,57,19.06354515050167,22.80701754385965,6.0200668896321075,1140.0,900.0,2040.0
forecast,Mekong-Synthetic,ET-MPC,2044,persistence,0.05,1.0,1.0,0.85,0.15,0.15,a1894392a02b8d6083e376df671f6dc43f0f7ceddee2444fbbda81f8f2055f47,1.1117101812318735,203.90709190954226,48,16.05351170568562,25.0,6.354515050167224,960.0,900.0,1860.0
forecast,Mekong-Synthetic,ET-MPC,2045,persistence,0.05,1.0,1.0,0.85,0.15,0.15,fa8e8b9dbbe958e25846277501cf58fee5efa36d13df69909d19055c699b0bac,1.0973788527650792,196.46670243728016,50,16.722408026755854,22.0,6.354515050167224,1000.0,900.0,1900.0
forecast,Tokyo-Bernoulli,ET-MPC,2026,persistence,0.05,1.0,1.0,0.85,0.15,0.15,790c8f5dd988055e155f47ff6fd24c8b50beac920afbc4ce791d68cb6cedc59a,3.128853446303639,673.7223823298658,93,31.103678929765888,21.50537634408602,43.47826086956522,1860.0,900.0,2760.0
forecast,Tokyo-Bernoulli,ET-MPC,2027,persistence,0.05,1.0,1.0,0.85,0.15,0.15,b5948e86d52c9038713ff98a3f876792a0b095b62f80d25d4f777fe5687cf13b,3.3667294446777314,703.4305939474144,98,32.77591973244147,30.612244897959183,45.819397993311036,1960.0,900.0,2860.0
forecast,Tokyo-Bernoulli,ET-MPC,2028,persistence,0.05,1.0,1.0,0.85,0.15,0.15,5e75d31e96cdd15ac6dd091671f770d206b14c7bc3463a04819d731263b1ec30,3.3259706752387284,695.8345678564035,106,35.45150501672241,34.905660377358494,43.812709030100336,2120.0,900.0,3020.0
forecast,Tokyo-Bernoulli,ET-MPC,2029,persistence,0.05,1.0,1.0,0.85,0.15,0.15,1b18d781f20e9c8d08506aca447c6b24d76376b2916c9bc6ba9b399b0935fee0,3.188505186196378,686.2561550363913,105,35.11705685618729,34.285714285714285,44.48160535117057,2100.0,900.0,3000.0
forecast,Tokyo-Bernoulli,ET-MPC,2030,persistence,0.05,1.0,1.0,0.85,0.15,0.15,4911a0a6e6ae87bf909477506b8e1edb72a6e5483b97830458c5577715965602,3.2458160333122046,731.7871769772776,95,31.77257525083612,29.473684210526315,52.508361204013376,1900.0,900.0,2800.0
forecast,Tokyo-Bernoulli,ET-MPC,2031,persistence,0.05,1.0,1.0,0.85,0.15,0.15,f370c55fa062849c844d48bddc406fe9d7e0fd27df33207cfeeac16ab1bf27b8,3.4994753190853363,818.0206313977243,83,27.759197324414714,36.144578313253014,58.862876254180605,1660.0,900.0,2560.0
forecast,Tokyo-Bernoulli,ET-MPC,2032,persistence,0.05,1.0,1.0,0.85,0.15,0.15,0657654dc1b26a994835d27881651b78486dc48af023aa439af2acac56d5c655,3.200452614495415,699.7243407145925,89,29.765886287625417,29.213483146067414,51.17056856187291,1780.0,900.0,2680.0
forecast,Tokyo-Bernoulli,ET-MPC,2033,persistence,0.05,1.0,1.0,0.85,0.15,0.15,9cf2e1d6be7f50113b15b164000323374aba7ef162283e103dcc247eda3c72fd,3.14337758872882,688.1581022138795,92,30.76923076923077,19.565217391304348,45.48494983277592,1840.0,900.0,2740.0
forecast,Tokyo-Bernoulli,ET-MPC,2034,persistence,0.05,1.0,1.0,0.85,0.15,0.15,bc6a8e590bbf10f600d1f0090af727494cd7c8c6c408e279da41e1f895bc080d,3.1781588138089187,708.4469421993823,85,28.42809364548495,23.529411764705884,49.83277591973244,1700.0,900.0,2600.0
forecast,Tokyo-Bernoulli,ET-MPC,2035,persistence,0.05,1.0,1.0,0.85,0.15,0.15,e0c92e558a911295df6345ac98a3486b5d0729c895ec97029128ecc2476d5c24,3.1205630317774915,670.9560536973106,92,30.76923076923077,25.0,44.147157190635454,1840.0,900.0,2740.0
forecast,Tokyo-Bernoulli,ET-MPC,2036,persistence,0.05,1.0,1.0,0.85,0.15,0.15,4b20ab18a2ea47e063c176e1910051feb9a4b1091cb9c1c0bfc4f368cc51c0f7,3.36564803346769,701.4014581237016,111,37.123745819397996,36.03603603603604,44.81605351170568,2220.0,900.0,3120.0
forecast,Tokyo-Bernoulli,ET-MPC,2037,persistence,0.05,1.0,1.0,0.85,0.15,0.15,61c08b9f4cb9e09d18942133c8b1156ebb3e4f7e3b90f91d3cfe4f555c92d53c,3.1140624330684603,668.1765692514036,101,33.779264214046826,26.73267326732673,39.79933110367893,2020.0,900.0,2920.0
forecast,Tokyo-Bernoulli,ET-MPC,2038,persistence,0.05,1.0,1.0,0.85,0.15,0.15,2bcdbbe6d47e1542dc982374609aa696bf1470f55231ae55073c664cf06a10b9,3.154376184280307,688.4021872675016,90,30.100334448160535,26.666666666666668,47.82608695652174,1800.0,900.0,2700.0
forecast,Tokyo-Bernoulli,ET-MPC,2039,persistence,0.05,1.0,1.0,0.85,0.15,0.15,d510e77a0aa1cc423f4065384f42687e7d519427aba0a939ad15d0f69812a8a6,3.0902161674235247,672.5980980728259,92,30.76923076923077,22.82608695652174,44.81605351170568,1840.0,900.0,2740.0
forecast,Tokyo-Bernoulli,ET-MPC,2040,persistence,0.05,1.0,1.0,0.85,0.15,0.15,73509efd2b59989b34f285c401e4c158c58402c2e7ef9fdb9b829f652c572d5a,3.2535772396263565,712.8944908974433,90,30.100334448160535,24.444444444444443,49.163879598662206,1800.0,900.0,2700.0
forecast,Tokyo-Bernoulli,ET-MPC,2041,persistence,0.05,1.0,1.0,0.85,0.15,0.15,90452afdd6b156a9793fe5eb120c7c050906891f391a0c83c243ca9cfac46da3,3.165330491143859,695.4249181679414,105,35.11705685618729,32.38095238095238,45.1505016722408,2100.0,900.0,3000.0
forecast,Tokyo-Bernoulli,ET-MPC,2042,persistence,0.05,1.0,1.0,0.85,0.15,0.15,f065ae35e3d91ea5da25e02b9fecfcc6d9bc2426b2773b8f433f4e098dd9555a,3.1486110006497885,683.1840054596403,96,32.10702341137124,30.208333333333332,43.1438127090301,1920.0,900.0,2820.0
forecast,Tokyo-Bernoulli,ET-MPC,2043,persistence,0.05,1.0,1.0,0.85,0.15,0.15,fae2b89aa7454beb374c4cd0829361758c19353823bb8125b934643b6c64e0fb,3.159915625878245,673.6994031969317,102,34.11371237458194,37.254901960784316,41.80602006688963,2040.0,900.0,2940.0
forecast,Tokyo-Bernoulli,ET-MPC,2044,persistence,0.05,1.0,1.0,0.85,0.15,0.15,575f3a7d26f08a8940567d7e62af687dc46792e52ee3f98ebbcefc2b99369a4c,3.409531046363176,777.9248428392341,90,30.100334448160535,32.22222222222222,58.19397993311037,1800.0,900.0,2700.0
forecast,Tokyo-Bernoulli,ET-MPC,2045,persistence,0.05,1.0,1.0,0.85,0.15,0.15,d3d918ecca7cea43f4f800911c112d14df3bed486114da477244274fba5ae473,3.1624398474448427,689.1627972576545,80,26.755852842809364,32.5,50.16722408026756,1600.0,900.0,2500.0
forecast,Tokyo-Burst,ET-MPC,2026,persistence,0.05,1.0,1.0,0.85,0.15,0.15,65e607d121b7f38f51b5360462f746c1701f3e652ebd6207364bf685c944e962,3.3827472012941793,723.0724658551235,85,28.42809364548495,17.647058823529413,49.49832775919732,1700.0,900.0,2600.0
forecast,Tokyo-Burst,ET-MPC,2027,persistence,0.05,1.0,1.0,0.85,0.15,0.15,0bdb2e7d81f0527e4198ba1aa2979f72a4fd1c0e86049df94b3c31dd0cd8553e,3.1401271266034505,674.8085683426586,87,29.096989966555185,13.793103448275861,43.812709030100336,1740.0,900.0,2640.0
forecast,Tokyo-Burst,ET-MPC,2028,persistence,0.05,1.0,1.0,0.85,0.15,0.15,bf17382a8727f01646cd32933a0b1bb93b91ff7021a00d7be25891a379d81d5f,3.0849517030487785,656.3210409238595,85,28.42809364548495,14.117647058823529,42.14046822742475,1700.0,900.0,2600.0
forecast,Tokyo-Burst,ET-MPC,2029,persistence,0.05,1.0,1.0,0.85,0.15,0.15,4c2e698c488f981ba4dc9e71c3268155b14c46940f1330562245253e39f3da21,3.0260976895560563,625.2294165456952,91,30.434782608695652,15.384615384615385,36.12040133779264,1820.0,900.0,2720.0
forecast,Tokyo-Burst,ET-MPC,2030,persistence,0.05,1.0,1.0,0.85,0.15,0.15,a0499347c05b83622ed1d810b78faca034d591627097e65340fb864e081fefa6,3.1188184816203957,674.9028005797333,91,30.434782608695652,19.78021978021978,43.812709030100336,1820.0,900.0,2720.0
forecast,Tokyo-Burst,ET-MPC,2031,persistence,0.05,1.0,1.0,0.85,0.15,0.15,8c056314f497b2b93cf57238354d17651567b4d55a011b817117200e5194323a,3.1764142121292003,708.0319544691505,63,21.070234113712374,14.285714285714286,54.51505016722408,1260.0,900.0,2160.0
forecast,Tokyo-Burst,ET-MPC,2032,persistence,0.05,1.0,1.0,0.85,0.15,0.15,101006ca15a99503b3726e3d42cd12c01dcf16530f68a27821c81839ef19477a,3.17489630886865,698.8997646346734,90,30.100334448160535,18.88888888888889,47.15719063545151,1800.0,900.0,2700.0
forecast,Tokyo-Burst,ET-MPC,2033,persistence,0.05,1.0,1.0,0.85,0.15,0.15,a7bdab5d072e97f0d1a4511b812de4c4c7d61f93141bfcfcebafd5d34d69e3e3,3.1946569687139528,698.2261991317074,89,29.765886287625417,12.359550561797754,45.48494983277592,1780.0,900.0,2680.0
forecast,Tokyo-Burst,ET-MPC,2034,persistence,0.05,1.0,1.0,0.85,0.15,0.15,68538dd445828f2aa3c1134221c091eb6052585f33831424925db67e9970eaf3,3.160349678586317,675.8402064683829,89,29.765886287625417,19.10112359550562,43.812709030100336,1780.0,900.0,2680.0
forecast,Tokyo-Burst,ET-MPC,2035,persistence,0.05,1.0,1.0,0.85,0.15,0.15,549dcfb6ee7c6021e2804774650ff51e150ba87b86bd80a34421f2ffe8433ab8,2.990322985304168,618.5670217997127,90,30.100334448160535,17.77777777777778,38.79598662207358,1800.0,900.0,2700.0
