plant,network,contrast,metric,n_pairs,mean_difference,sd_difference,ci95_low,ci95_high,p_value,cohen_dz,probability_A_better,better_direction,crn_gate,holm_family,p_value_holm
greenhouse,N0_ideal,ET-MPC_minus_TT-MPC,nrmse,50,-0.0004645389825252233,0.0012423671165050921,-0.0008176158104072676,-0.00011146215464317907,0.010975900813679268,-0.37391442219753834,0.68,lower,True,network_metric:N0_ideal:nrmse,0.03292770244103781
greenhouse,N0_ideal,ET-MPC_minus_TT-MPC,violation_pct,50,-0.017361111111111,0.08036632810525651,-0.040200968846363,0.005478746624140999,0.1330604239841726,-0.21602468994692647,0.12,lower,True,network_metric:N0_ideal:violation_pct,0.39918127195251774
greenhouse,N0_ideal,ET-MPC_minus_TT-MPC,transmissions,50,-213.06,1.5832026440872622,-213.50994121306212,-212.61005878693788,3.3097515035587497e-106,-134.5753184506788,1.0,lower,True,network_metric:N0_ideal:transmissions,9.929254510676249e-106
greenhouse,N0_ideal,ET-MPC_minus_TT-MPC,total_modeled_energy_mj,50,-554.0418763012121,4.715635055602994,-555.3820449556799,-552.7017076467444,2.5633440524527894e-103,-117.49040580290752,1.0,lower,True,network_metric:N0_ideal:total_modeled_energy_mj,7.690032157358368e-103
greenhouse,N0_ideal,ET-MPC_minus_TT-MPC,command_applied_pct,50,0.0,0.0,0.0,0.0,,,0.0,higher,True,network_metric:N0_ideal:command_applied_pct,1.0
greenhouse,N0_ideal,ET-MPC_minus_TT-MPC,deadline_miss_pct,50,0.0,0.0,0.0,0.0,,,0.0,lower,True,network_metric:N0_ideal:deadline_miss_pct,1.0
greenhouse,N0_ideal,ET-PI_minus_TT-PI,nrmse,50,-0.00038324931223552737,0.0002383137145352383,-0.0004509773205279491,-0.00031552130394310563,2.3833053666052457e-15,-1.6081714515798802,0.96,lower,True,network_metric:N0_ideal:nrmse,9.533221466420983e-15
greenhouse,N0_ideal,ET-PI_minus_TT-PI,violation_pct,50,-0.20486111111111158,0.25217250957286874,-0.2765277453741877,-0.13319447684803545,5.780735677299451e-07,-0.8123847895161392,0.66,lower,True,network_metric:N0_ideal:violation_pct,2.3122942709197804e-06
greenhouse,N0_ideal,ET-PI_minus_TT-PI,transmissions,50,-212.32,1.0774118648551316,-212.62619706406562,-212.01380293593436,2.532523996269942e-114,-197.06484300555616,1.0,lower,True,network_metric:N0_ideal:transmissions,1.0130095985079768e-113
greenhouse,N0_ideal,ET-PI_minus_TT-PI,total_modeled_energy_mj,50,-575.0695776342759,4.378099215390124,-576.3138196643381,-573.8253356042137,1.0858449887430756e-105,-131.35142657634646,1.0,lower,True,network_metric:N0_ideal:total_modeled_energy_mj,4.343379954972302e-105
greenhouse,N0_ideal,ET-PI_minus_TT-PI,command_applied_pct,50,0.0,0.0,0.0,0.0,,,0.0,higher,True,network_metric:N0_ideal:command_applied_pct,1.0
greenhouse,N0_ideal,ET-PI_minus_TT-PI,deadline_miss_pct,50,0.0,0.0,0.0,0.0,,,0.0,lower,True,network_metric:N0_ideal:deadline_miss_pct,1.0
greenhouse,N1_nominal,ET-MPC_minus_TT-MPC,nrmse,50,0.00023713816261612176,0.0012872820926228708,-0.00012870336024326098,0.0006029796854755045,0.19879874298921407,0.18421615897176552,0.46,lower,True,network_metric:N1_nominal:nrmse,0.5963962289676422
greenhouse,N1_nominal,ET-MPC_minus_TT-MPC,violation_pct,50,-0.017361111111111285,0.08768685282571351,-0.04228143895249592,0.007559216730273349,0.1678133109168125,-0.19798989873223355,0.14,lower,True,network_metric:N1_nominal:violation_pct,0.5034399327504375
greenhouse,N1_nominal,ET-MPC_minus_TT-MPC,transmissions,50,-211.62,1.915458063189256,-212.16436715839234,-211.07563284160767,5.222863685474567e-102,-110.48010085256092,1.0,lower,True,network_metric:N1_nominal:transmissions,1.56685910564237e-101
greenhouse,N1_nominal,ET-MPC_minus_TT-MPC,total_modeled_energy_mj,50,-616.9099039980931,10.356570198803125,-619.8532086823137,-613.9665993138725,7.269437732279243e-89,-59.56700839718032,1.0,lower,True,network_metric:N1_nominal:total_modeled_energy_mj,2.180831319683773e-88
greenhouse,N1_nominal,ET-MPC_minus_TT-MPC,command_applied_pct,50,0.1080516540670331,1.5135847148182782,-0.3221043624107226,0.5382076705447888,0.6159699618753145,0.07138791308420807,0.56,higher,True,network_metric:N1_nominal:command_applied_pct,1.0
greenhouse,N1_nominal,ET-MPC_minus_TT-MPC,deadline_miss_pct,50,0.0,0.0,0.0,0.0,,,0.0,lower,True,network_metric:N1_nominal:deadline_miss_pct,1.0
greenhouse,N1_nominal,ET-PI_minus_TT-PI,nrmse,50,-0.0003914763988940106,0.0002649576822647626,-0.00046677653903309286,-0.0003161762587549284,4.612507987195727e-14,-1.477505371981713,0.94,lower,True,network_metric:N1_nominal:nrmse,1.8450031948782908e-13
greenhouse,N1_nominal,ET-PI_minus_TT-PI,violation_pct,50,-0.10416666666666785,0.16821254918465497,-0.1519721441998676,-0.05636118913346811,6.260706002591014e-05,-0.6192562158505731,0.56,lower,True,network_metric:N1_nominal:violation_pct,0.00025042824010364055
greenhouse,N1_nominal,ET-PI_minus_TT-PI,transmissions,50,-211.26,1.6880129605847347,-211.73972797543422,-210.78027202456576,1.1597894647702682e-104,-125.15306750181506,1.0,lower,True,network_metric:N1_nominal:transmissions,4.639157859081073e-104
greenhouse,N1_nominal,ET-PI_minus_TT-PI,total_modeled_energy_mj,50,-637.9861390550625,10.208458178216187,-640.8873507687712,-635.0849273413538,6.923803999089001e-90,-62.495837071308195,1.0,lower,True,network_metric:N1_nominal:total_modeled_energy_mj,2.7695215996356004e-89
