run_id,status,failure_reason
greenhouse:N0_ideal:2026:TT-MPC,completed,
greenhouse:N0_ideal:2026:ET-MPC,completed,
greenhouse:N0_ideal:2026:TT-PI,completed,
greenhouse:N0_ideal:2026:ET-PI,completed,
greenhouse:N0_ideal:2027:TT-MPC,completed,
greenhouse:N0_ideal:2027:ET-MPC,completed,
greenhouse:N0_ideal:2027:TT-PI,completed,
greenhouse:N0_ideal:2027:ET-PI,completed,
greenhouse:N0_ideal:2028:TT-MPC,completed,
greenhouse:N0_ideal:2028:ET-MPC,completed,
greenhouse:N0_ideal:2028:TT-PI,completed,
greenhouse:N0_ideal:2028:ET-PI,completed,
greenhouse:N0_ideal:2029:TT-MPC,completed,
greenhouse:N0_ideal:2029:ET-MPC,completed,
greenhouse:N0_ideal:2029:TT-PI,completed,
greenhouse:N0_ideal:2029:ET-PI,completed,
greenhouse:N0_ideal:2030:TT-MPC,completed,
greenhouse:N0_ideal:2030:ET-MPC,completed,
greenhouse:N0_ideal:2030:TT-PI,completed,
greenhouse:N0_ideal:2030:ET-PI,completed,
greenhouse:N0_ideal:2031:TT-MPC,completed,
greenhouse:N0_ideal:2031:ET-MPC,completed,
greenhouse:N0_ideal:2031:TT-PI,completed,
greenhouse:N0_ideal:2031:ET-PI,completed,
greenhouse:N0_ideal:2032:TT-MPC,completed,
greenhouse:N0_ideal:2032:ET-MPC,completed,
greenhouse:N0_ideal:2032:TT-PI,completed,
greenhouse:N0_ideal:2032:ET-PI,completed,
greenhouse:N0_ideal:2033:TT-MPC,completed,
greenhouse:N0_ideal:2033:ET-MPC,completed,
greenhouse:N0_ideal:2033:TT-PI,completed,
greenhouse:N0_ideal:2033:ET-PI,completed,
greenhouse:N0_ideal:2034:TT-MPC,completed,
greenhouse:N0_ideal:2034:ET-MPC,completed,
greenhouse:N0_ideal:2034:TT-PI,completed,
greenhouse:N0_ideal:2034:ET-PI,completed,
greenhouse:N0_ideal:2035:TT-MPC,completed,
greenhouse:N0_ideal:2035:ET-MPC,completed,
greenhouse:N0_ideal:2035:TT-PI,completed,
greenhouse:N0_ideal:2035:ET-PI,completed,
greenhouse:N0_ideal:2036:TT-MPC,completed,
greenhouse:N0_ideal:2036:ET-MPC,completed,
greenhouse:N0_ideal:2036:TT-PI,completed,
greenhouse:N0_ideal:2036:ET-PI,completed,
greenhouse:N0_ideal:2037:TT-MPC,completed,
greenhouse:N0_ideal:2037:ET-MPC,completed,
greenhouse:N0_ideal:2037:TT-PI,completed,
greenhouse:N0_ideal:2037:ET-PI,completed,
greenhouse:N0_ideal:2038:TT-MPC,completed,
greenhouse:N0_ideal:2038:ET-MPC,completed,
greenhouse:N0_ideal:2038:TT-PI,completed,
greenhouse:N0_ideal:2038:ET-PI,completed,
greenhouse:N0_ideal:2039:TT-MPC,completed,
greenhouse:N0_ideal:2039:ET-MPC,completed,
greenhouse:N0_ideal:2039:TT-PI,completed,
greenhouse:N0_ideal:2039:ET-PI,completed,
greenhouse:N0_ideal:2040:TT-MPC,completed,
greenhouse:N0_ideal:2040:ET-MPC,completed,
greenhouse:N0_ideal:2040:TT-PI,completed,
greenhouse:N0_ideal:2040:ET-PI,completed,
greenhouse:N0_ideal:2041:TT-MPC,completed,
greenhouse:N0_ideal:2041:ET-MPC,completed,
greenhouse:N0_ideal:2041:TT-PI,completed,
greenhouse:N0_ideal:2041:ET-PI,completed,
greenhouse:N0_ideal:2042:TT-MPC,completed,
greenhouse:N0_ideal:2042:ET-MPC,completed,
greenhouse:N0_ideal:2042:TT-PI,completed,
greenhouse:N0_ideal:2042:ET-PI,completed,
greenhouse:N0_ideal:2043:TT-MPC,completed,
greenhouse:N0_ideal:2043:ET-MPC,completed,
greenhouse:N0_ideal:2043:TT-PI,completed,
greenhouse:N0_ideal:2043:ET-PI,completed,
greenhouse:N0_ideal:2044:TT-MPC,completed,
greenhouse:N0_ideal:2044:ET-MPC,completed,
greenhouse:N0_ideal:2044:TT-PI,completed,
greenhouse:N0_ideal:2044:ET-PI,completed,
greenhouse:N0_ideal:2045:TT-MPC,completed,
greenhouse:N0_ideal:2045:ET-MPC,completed,
greenhouse:N0_ideal:2045:TT-PI,completed,
greenhouse:N0_ideal:2045:ET-PI,completed,
greenhouse:N0_ideal:2046:TT-MPC,completed,
greenhouse:N0_ideal:2046:ET-MPC,completed,
greenhouse:N0_ideal:2046:TT-PI,completed,
greenhouse:N0_ideal:2046:ET-PI,completed,
greenhouse:N0_ideal:2047:TT-MPC,completed,
greenhouse:N0_ideal:2047:ET-MPC,completed,
greenhouse:N0_ideal:2047:TT-PI,completed,
greenhouse:N0_ideal:2047:ET-PI,completed,
greenhouse:N0_ideal:2048:TT-MPC,completed,
greenhouse:N0_ideal:2048:ET-MPC,completed,
greenhouse:N0_ideal:2048:TT-PI,completed,
greenhouse:N0_ideal:2048:ET-PI,completed,
greenhouse:N0_ideal:2049:TT-MPC,completed,
greenhouse:N0_ideal:2049:ET-MPC,completed,
greenhouse:N0_ideal:2049:TT-PI,completed,
greenhouse:N0_ideal:2049:ET-PI,completed,
greenhouse:N0_ideal:2050:TT-MPC,completed,
greenhouse:N0_ideal:2050:ET-MPC,completed,
greenhouse:N0_ideal:2050:TT-PI,completed,
greenhouse:N0_ideal:2050:ET-PI,completed,
greenhouse:N0_ideal:2051:TT-MPC,completed,
greenhouse:N0_ideal:2051:ET-MPC,completed,
greenhouse:N0_ideal:2051:TT-PI,completed,
greenhouse:N0_ideal:2051:ET-PI,completed,
greenhouse:N0_ideal:2052:TT-MPC,completed,
greenhouse:N0_ideal:2052:ET-MPC,completed,
greenhouse:N0_ideal:2052:TT-PI,completed,
greenhouse:N0_ideal:2052:ET-PI,completed,
greenhouse:N0_ideal:2053:TT-MPC,completed,
greenhouse:N0_ideal:2053:ET-MPC,completed,
greenhouse:N0_ideal:2053:TT-PI,completed,
greenhouse:N0_ideal:2053:ET-PI,completed,
greenhouse:N0_ideal:2054:TT-MPC,completed,
greenhouse:N0_ideal:2054:ET-MPC,completed,
greenhouse:N0_ideal:2054:TT-PI,completed,
greenhouse:N0_ideal:2054:ET-PI,completed,
greenhouse:N0_ideal:2055:TT-MPC,completed,
greenhouse:N0_ideal:2055:ET-MPC,completed,
greenhouse:N0_ideal:2055:TT-PI,completed,
greenhouse:N0_ideal:2055:ET-PI,completed,
greenhouse:N0_ideal:2056:TT-MPC,completed,
greenhouse:N0_ideal:2056:ET-MPC,completed,
greenhouse:N0_ideal:2056:TT-PI,completed,
greenhouse:N0_ideal:2056:ET-PI,completed,
greenhouse:N0_ideal:2057:TT-MPC,completed,
greenhouse:N0_ideal:2057:ET-MPC,completed,
greenhouse:N0_ideal:2057:TT-PI,completed,
greenhouse:N0_ideal:2057:ET-PI,completed,
greenhouse:N0_ideal:2058:TT-MPC,completed,
greenhouse:N0_ideal:2058:ET-MPC,completed,
greenhouse:N0_ideal:2058:TT-PI,completed,
greenhouse:N0_ideal:2058:ET-PI,completed,
greenhouse:N0_ideal:2059:TT-MPC,completed,
greenhouse:N0_ideal:2059:ET-MPC,completed,
greenhouse:N0_ideal:2059:TT-PI,completed,
greenhouse:N0_ideal:2059:ET-PI,completed,
greenhouse:N0_ideal:2060:TT-MPC,completed,
greenhouse:N0_ideal:2060:ET-MPC,completed,
greenhouse:N0_ideal:2060:TT-PI,completed,
greenhouse:N0_ideal:2060:ET-PI,completed,
greenhouse:N0_ideal:2061:TT-MPC,completed,
greenhouse:N0_ideal:2061:ET-MPC,completed,
greenhouse:N0_ideal:2061:TT-PI,completed,
greenhouse:N0_ideal:2061:ET-PI,completed,
greenhouse:N0_ideal:2062:TT-MPC,completed,
greenhouse:N0_ideal:2062:ET-MPC,completed,
greenhouse:N0_ideal:2062:TT-PI,completed,
greenhouse:N0_ideal:2062:ET-PI,completed,
greenhouse:N0_ideal:2063:TT-MPC,completed,
greenhouse:N0_ideal:2063:ET-MPC,completed,
greenhouse:N0_ideal:2063:TT-PI,completed,
greenhouse:N0_ideal:2063:ET-PI,completed,
greenhouse:N0_ideal:2064:TT-MPC,completed,
greenhouse:N0_ideal:2064:ET-MPC,completed,
greenhouse:N0_ideal:2064:TT-PI,completed,
greenhouse:N0_ideal:2064:ET-PI,completed,
greenhouse:N0_ideal:2065:TT-MPC,completed,
greenhouse:N0_ideal:2065:ET-MPC,completed,
greenhouse:N0_ideal:2065:TT-PI,completed,
greenhouse:N0_ideal:2065:ET-PI,completed,
greenhouse:N0_ideal:2066:TT-MPC,completed,
greenhouse:N0_ideal:2066:ET-MPC,completed,
greenhouse:N0_ideal:2066:TT-PI,completed,
greenhouse:N0_ideal:2066:ET-PI,completed,
greenhouse:N0_ideal:2067:TT-MPC,completed,
greenhouse:N0_ideal:2067:ET-MPC,completed,
greenhouse:N0_ideal:2067:TT-PI,completed,
greenhouse:N0_ideal:2067:ET-PI,completed,
greenhouse:N0_ideal:2068:TT-MPC,completed,
greenhouse:N0_ideal:2068:ET-MPC,completed,
greenhouse:N0_ideal:2068:TT-PI,completed,
greenhouse:N0_ideal:2068:ET-PI,completed,
greenhouse:N0_ideal:2069:TT-MPC,completed,
greenhouse:N0_ideal:2069:ET-MPC,completed,
greenhouse:N0_ideal:2069:TT-PI,completed,
greenhouse:N0_ideal:2069:ET-PI,completed,
greenhouse:N0_ideal:2070:TT-MPC,completed,
greenhouse:N0_ideal:2070:ET-MPC,completed,
greenhouse:N0_ideal:2070:TT-PI,completed,
greenhouse:N0_ideal:2070:ET-PI,completed,
greenhouse:N0_ideal:2071:TT-MPC,completed,
greenhouse:N0_ideal:2071:ET-MPC,completed,
greenhouse:N0_ideal:2071:TT-PI,completed,
greenhouse:N0_ideal:2071:ET-PI,completed,
greenhouse:N0_ideal:2072:TT-MPC,completed,
greenhouse:N0_ideal:2072:ET-MPC,completed,
greenhouse:N0_ideal:2072:TT-PI,completed,
greenhouse:N0_ideal:2072:ET-PI,completed,
greenhouse:N0_ideal:2073:TT-MPC,completed,
greenhouse:N0_ideal:2073:ET-MPC,completed,
greenhouse:N0_ideal:2073:TT-PI,completed,
greenhouse:N0_ideal:2073:ET-PI,completed,
greenhouse:N0_ideal:2074:TT-MPC,completed,
greenhouse:N0_ideal:2074:ET-MPC,completed,
greenhouse:N0_ideal:2074:TT-PI,completed,
greenhouse:N0_ideal:2074:ET-PI,completed,
greenhouse:N0_ideal:2075:TT-MPC,completed,
greenhouse:N0_ideal:2075:ET-MPC,completed,
greenhouse:N0_ideal:2075:TT-PI,completed,
greenhouse:N0_ideal:2075:ET-PI,completed,
greenhouse:N1_nominal:2026:TT-MPC,completed,
greenhouse:N1_nominal:2026:ET-MPC,completed,
greenhouse:N1_nominal:2026:TT-PI,completed,
greenhouse:N1_nominal:2026:ET-PI,completed,
greenhouse:N1_nominal:2027:TT-MPC,completed,
greenhouse:N1_nominal:2027:ET-MPC,completed,
greenhouse:N1_nominal:2027:TT-PI,completed,
greenhouse:N1_nominal:2027:ET-PI,completed,
greenhouse:N1_nominal:2028:TT-MPC,completed,
greenhouse:N1_nominal:2028:ET-MPC,completed,
greenhouse:N1_nominal:2028:TT-PI,completed,
greenhouse:N1_nominal:2028:ET-PI,completed,
greenhouse:N1_nominal:2029:TT-MPC,completed,
greenhouse:N1_nominal:2029:ET-MPC,completed,
greenhouse:N1_nominal:2029:TT-PI,completed,
greenhouse:N1_nominal:2029:ET-PI,completed,
greenhouse:N1_nominal:2030:TT-MPC,completed,
greenhouse:N1_nominal:2030:ET-MPC,completed,
greenhouse:N1_nominal:2030:TT-PI,completed,
greenhouse:N1_nominal:2030:ET-PI,completed,
