plant,policy,network,seed,forecast,trigger_delta,model_scale,fallback,random_tape_sha256,config_sha256,preregistration_sha256,nrmse,violation_pct,transmissions,command_applied_pct,deadline_miss_pct,tx_energy_mj,rx_energy_mj,listen_energy_mj,retry_energy_mj,compute_energy_mj,baseline_energy_mj,actuation_energy_mj,total_modeled_energy_mj,status,setting_id
greenhouse,ET-MPC,N0_ideal,2026,persistence,0.02,1.0,hold,2564ec262680c54cab5340f94cc6b063c0ce70a9bc3307497488c42d1093c14d,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.39506304421918875,43.05555555555556,123,100.0,0.0,147.60094464024985,98.39999999999978,73.80000000000001,0.0,0.4920000000000004,86.39999999999954,647.9999999999998,1054.692944640249,completed,trigger_0.02
greenhouse,ET-MPC,N0_ideal,2027,persistence,0.02,1.0,hold,80d2e7d45ca3b1ca5cb60a994bc7018a037fde04e6c69e7cd6630c7f5def24e0,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.39843286892088886,43.40277777777778,121,100.0,0.0,145.20092928019403,96.79999999999978,72.60000000000002,0.0,0.4840000000000004,86.39999999999954,647.9999999999998,1049.4849292801932,completed,trigger_0.02
greenhouse,ET-MPC,N0_ideal,2028,persistence,0.02,1.0,hold,fbd194eca91ed9cc750fbc0294843522e4927131db41b8b7cc7e3cf6d6c4f674,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.3998811143370387,43.40277777777778,119,100.0,0.0,142.80091392049292,95.19999999999979,71.40000000000003,0.0,0.47600000000000037,86.39999999999954,645.5999999999998,1041.876913920492,completed,trigger_0.02
greenhouse,ET-MPC,N0_ideal,2029,persistence,0.02,1.0,hold,4f5ec0020197f485916c8975041348decd66e067ef9cecc012ce4642b378da30,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.3987900214700481,43.40277777777778,124,100.0,0.0,148.8009523203869,99.19999999999978,74.4,0.0,0.4960000000000004,86.39999999999954,645.5999999999998,1054.896952320386,completed,trigger_0.02
greenhouse,ET-MPC,N0_ideal,2030,persistence,0.02,1.0,hold,defb79333b79935e93b95595071e865bff5aaccd62fd3b08c2222714e1ae4f47,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.39841824062813785,43.22916666666667,116,100.0,0.0,139.20089088030915,92.7999999999998,69.60000000000005,0.0,0.46400000000000036,86.39999999999954,647.9999999999998,1036.4648908803083,completed,trigger_0.02
greenhouse,ET-MPC,N0_ideal,2031,persistence,0.02,1.0,hold,bd137e2eb90544ea17aaa2e6cc72b03e78a051a63acdee1b1a04e4a9434895c2,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.3967377329555108,43.22916666666667,119,100.0,0.0,142.8009139201382,95.19999999999979,71.40000000000003,0.0,0.47600000000000037,86.39999999999954,650.3999999999997,1046.6769139201374,completed,trigger_0.02
greenhouse,ET-MPC,N0_ideal,2032,persistence,0.02,1.0,hold,e3d2b52ba24081c866cafe82cdd8f70ad37d97564597e35d3080623e3b65bf7c,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.3956559467015356,43.22916666666667,120,100.0,0.0,144.0009216000479,95.99999999999979,72.00000000000003,0.0,0.48000000000000037,86.39999999999954,650.3999999999997,1049.280921600047,completed,trigger_0.02
greenhouse,ET-MPC,N0_ideal,2033,persistence,0.02,1.0,hold,4088609eeada74ff2c4c9a9b5abd65fae56c47b9e98f5e32b2c5545cbf2c1b3e,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.39648897376301895,43.40277777777778,120,100.0,0.0,144.00092160032983,95.99999999999979,72.00000000000003,0.0,0.48000000000000037,86.39999999999954,647.9999999999998,1046.880921600329,completed,trigger_0.02
greenhouse,ET-MPC,N0_ideal,2034,persistence,0.02,1.0,hold,8e74299431c2b529d5c30240dcaaa4d62b0e11d1afd785e130ff9f101edef38a,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.3964279329077796,43.40277777777778,118,100.0,0.0,141.60090624019216,94.39999999999979,70.80000000000004,0.0,0.47200000000000036,86.39999999999954,652.7999999999997,1046.4729062401912,completed,trigger_0.02
greenhouse,ET-MPC,N0_ideal,2035,persistence,0.02,1.0,hold,be3a7ed2618c6b47d14916ed2570cf53e2993d3429b0fdd9c43e08afb239e55e,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.3973047768298732,43.22916666666667,116,100.0,0.0,139.20089088044557,92.7999999999998,69.60000000000005,0.0,0.46400000000000036,86.39999999999954,647.9999999999998,1036.4648908804447,completed,trigger_0.02
